COG ID	Catergory Code	Catergory	
COG2055	C	Energy production and conversion	
COG2069	C	Energy production and conversion	
COG2080	C	Energy production and conversion	
COG2086	C	Energy production and conversion	
COG2142	C	Energy production and conversion	
COG2180	C	Energy production and conversion	
COG2181	C	Energy production and conversion	
COG2191	C	Energy production and conversion	
COG2209	C	Energy production and conversion	
COG2210	C	Energy production and conversion	
COG2218	C	Energy production and conversion	
COG2224	C	Energy production and conversion	
COG2225	C	Energy production and conversion	
COG2326	C	Energy production and conversion	
COG2332	C	Energy production and conversion	
COG2352	C	Energy production and conversion	
COG2414	C	Energy production and conversion	
COG2421	C	Energy production and conversion	
COG2440	C	Energy production and conversion	
COG2609	C	Energy production and conversion	
COG2717	C	Energy production and conversion	
COG2811	C	Energy production and conversion	
COG2828	C	Energy production and conversion	
COG2838	C	Energy production and conversion	
COG2851	C	Energy production and conversion	
COG2857	C	Energy production and conversion	
COG2863	C	Energy production and conversion	
COG2864	C	Energy production and conversion	
COG2869	C	Energy production and conversion	
COG2871	C	Energy production and conversion	
COG2878	C	Energy production and conversion	
COG2993	C	Energy production and conversion	
COG3004	C	Energy production and conversion	
COG3005	C	Energy production and conversion	
COG3029	C	Energy production and conversion	
COG3038	C	Energy production and conversion	
COG3043	C	Energy production and conversion	
COG3051	C	Energy production and conversion	
COG3052	C	Energy production and conversion	
COG3053	C	Energy production and conversion	
COG3058	C	Energy production and conversion	
COG3067	C	Energy production and conversion	
COG3069	C	Energy production and conversion	
COG3080	C	Energy production and conversion	
COG3088	C	Energy production and conversion	
COG3125	C	Energy production and conversion	
COG3175	C	Energy production and conversion	
COG3181	C	Energy production and conversion	
COG3202	C	Energy production and conversion	
COG3241	C	Energy production and conversion	
COG3245	C	Energy production and conversion	
COG3258	C	Energy production and conversion	
COG3259	C	Energy production and conversion	
COG3260	C	Energy production and conversion	
COG3261	C	Energy production and conversion	
COG3262	C	Energy production and conversion	
COG3263	C	Energy production and conversion	
COG3278	C	Energy production and conversion	
COG3288	C	Energy production and conversion	
COG3302	C	Energy production and conversion	
COG3312	C	Energy production and conversion	
COG3336	C	Energy production and conversion	
COG3411	C	Energy production and conversion	
COG3426	C	Energy production and conversion	
COG3427	C	Energy production and conversion	
COG3474	C	Energy production and conversion	
COG3493	C	Energy production and conversion	
COG3630	C	Energy production and conversion	
COG3658	C	Energy production and conversion	
COG3761	C	Energy production and conversion	
COG3783	C	Energy production and conversion	
COG3794	C	Energy production and conversion	
COG3808	C	Energy production and conversion	
COG3909	C	Energy production and conversion	
COG3978	C	Energy production and conversion	
COG4036	C	Energy production and conversion	
COG4037	C	Energy production and conversion	
COG4038	C	Energy production and conversion	
COG4039	C	Energy production and conversion	
COG4041	C	Energy production and conversion	
COG4042	C	Energy production and conversion	
COG4074	C	Energy production and conversion	
COG4078	C	Energy production and conversion	
COG4084	C	Energy production and conversion	
COG4106	C	Energy production and conversion	
COG4147	C	Energy production and conversion	
COG4221	C	Energy production and conversion	
COG4231	C	Energy production and conversion	
COG4233	C	Energy production and conversion	
COG4235	C	Energy production and conversion	
COG4237	C	Energy production and conversion	
COG4459	C	Energy production and conversion	
COG4555	C	Energy production and conversion	
COG4576	C	Energy production and conversion	
COG4577	C	Energy production and conversion	
COG4624	C	Energy production and conversion	
COG4654	C	Energy production and conversion	
COG4656	C	Energy production and conversion	
COG4657	C	Energy production and conversion	
COG4658	C	Energy production and conversion	
COG4659	C	Energy production and conversion	
COG4660	C	Energy production and conversion	
COG4736	C	Energy production and conversion	
COG4802	C	Energy production and conversion	
COG4846	C	Energy production and conversion	
COG4987	C	Energy production and conversion	
COG4988	C	Energy production and conversion	
COG5012	C	Energy production and conversion	
COG5013	C	Energy production and conversion	
COG5016	C	Energy production and conversion	
COG5274	C	Energy production and conversion	
COG5336	C	Energy production and conversion	
COG5524	C	Energy production and conversion	
COG5557	C	Energy production and conversion	
COG5605	C	Energy production and conversion	
COG0206	D	Cell cycle control, cell division, chromosome partitioning	
COG0218	D	Cell cycle control, cell division, chromosome partitioning	
COG0239	D	Cell cycle control, cell division, chromosome partitioning	
COG0455	D	Cell cycle control, cell division, chromosome partitioning	
COG0464	D	Cell cycle control, cell division, chromosome partitioning	
COG0489	D	Cell cycle control, cell division, chromosome partitioning	
COG0536	D	Cell cycle control, cell division, chromosome partitioning	
COG0768	D	Cell cycle control, cell division, chromosome partitioning	
COG0772	D	Cell cycle control, cell division, chromosome partitioning	
COG0849	D	Cell cycle control, cell division, chromosome partitioning	
COG0850	D	Cell cycle control, cell division, chromosome partitioning	
COG0851	D	Cell cycle control, cell division, chromosome partitioning	
COG1077	D	Cell cycle control, cell division, chromosome partitioning	
COG1196	D	Cell cycle control, cell division, chromosome partitioning	
COG1300	D	Cell cycle control, cell division, chromosome partitioning	
COG1426	D	Cell cycle control, cell division, chromosome partitioning	
COG1475	D	Cell cycle control, cell division, chromosome partitioning	
COG1559	D	Cell cycle control, cell division, chromosome partitioning	
COG1589	D	Cell cycle control, cell division, chromosome partitioning	
COG1674	D	Cell cycle control, cell division, chromosome partitioning	
COG1792	D	Cell cycle control, cell division, chromosome partitioning	
COG1799	D	Cell cycle control, cell division, chromosome partitioning	
COG2088	D	Cell cycle control, cell division, chromosome partitioning	
COG2132	D	Cell cycle control, cell division, chromosome partitioning	
COG2177	D	Cell cycle control, cell division, chromosome partitioning	
COG2450	D	Cell cycle control, cell division, chromosome partitioning	
COG2719	D	Cell cycle control, cell division, chromosome partitioning	
COG2848	D	Cell cycle control, cell division, chromosome partitioning	
COG2884	D	Cell cycle control, cell division, chromosome partitioning	
COG2894	D	Cell cycle control, cell division, chromosome partitioning	
COG2917	D	Cell cycle control, cell division, chromosome partitioning	
COG2919	D	Cell cycle control, cell division, chromosome partitioning	
COG3006	D	Cell cycle control, cell division, chromosome partitioning	
COG3027	D	Cell cycle control, cell division, chromosome partitioning	
COG3074	D	Cell cycle control, cell division, chromosome partitioning	
COG3087	D	Cell cycle control, cell division, chromosome partitioning	
COG3095	D	Cell cycle control, cell division, chromosome partitioning	
COG3096	D	Cell cycle control, cell division, chromosome partitioning	
COG3115	D	Cell cycle control, cell division, chromosome partitioning	
COG3116	D	Cell cycle control, cell division, chromosome partitioning	
COG3147	D	Cell cycle control, cell division, chromosome partitioning	
COG3266	D	Cell cycle control, cell division, chromosome partitioning	
COG3599	D	Cell cycle control, cell division, chromosome partitioning	
COG3660	D	Cell cycle control, cell division, chromosome partitioning	
COG3773	D	Cell cycle control, cell division, chromosome partitioning	
COG3827	D	Cell cycle control, cell division, chromosome partitioning	
COG3854	D	Cell cycle control, cell division, chromosome partitioning	
COG3858	D	Cell cycle control, cell division, chromosome partitioning	
COG4326	D	Cell cycle control, cell division, chromosome partitioning	
COG4477	D	Cell cycle control, cell division, chromosome partitioning	
COG4582	D	Cell cycle control, cell division, chromosome partitioning	
COG4641	D	Cell cycle control, cell division, chromosome partitioning	
COG4839	D	Cell cycle control, cell division, chromosome partitioning	
COG4942	D	Cell cycle control, cell division, chromosome partitioning	
COG5019	D	Cell cycle control, cell division, chromosome partitioning	
COG5184	D	Cell cycle control, cell division, chromosome partitioning	
COG5185	D	Cell cycle control, cell division, chromosome partitioning	
COG5244	D	Cell cycle control, cell division, chromosome partitioning	
COG5279	D	Cell cycle control, cell division, chromosome partitioning	
COG5401	D	Cell cycle control, cell division, chromosome partitioning	
COG5404	D	Cell cycle control, cell division, chromosome partitioning	
COG5491	D	Cell cycle control, cell division, chromosome partitioning	
COG0002	E	Amino acid transport and metabolism	
COG0006	E	Amino acid transport and metabolism	
COG0010	E	Amino acid transport and metabolism	
COG0014	E	Amino acid transport and metabolism	
COG0019	E	Amino acid transport and metabolism	
COG0028	E	Amino acid transport and metabolism	
COG0031	E	Amino acid transport and metabolism	
COG0040	E	Amino acid transport and metabolism	
COG0059	E	Amino acid transport and metabolism	
COG0065	E	Amino acid transport and metabolism	
COG0066	E	Amino acid transport and metabolism	
COG0067	E	Amino acid transport and metabolism	
COG0069	E	Amino acid transport and metabolism	
COG0070	E	Amino acid transport and metabolism	
COG0075	E	Amino acid transport and metabolism	
COG0076	E	Amino acid transport and metabolism	
COG0077	E	Amino acid transport and metabolism	
COG0078	E	Amino acid transport and metabolism	
COG0079	E	Amino acid transport and metabolism	
COG0082	E	Amino acid transport and metabolism	
COG0083	E	Amino acid transport and metabolism	
COG0106	E	Amino acid transport and metabolism	
COG0107	E	Amino acid transport and metabolism	
COG0112	E	Amino acid transport and metabolism	
COG0115	E	Amino acid transport and metabolism	
COG0118	E	Amino acid transport and metabolism	
COG0119	E	Amino acid transport and metabolism	
COG0128	E	Amino acid transport and metabolism	
COG0129	E	Amino acid transport and metabolism	
COG0131	E	Amino acid transport and metabolism	
COG0133	E	Amino acid transport and metabolism	
COG0134	E	Amino acid transport and metabolism	
COG0135	E	Amino acid transport and metabolism	
COG0136	E	Amino acid transport and metabolism	
COG0137	E	Amino acid transport and metabolism	
COG0139	E	Amino acid transport and metabolism	
COG0140	E	Amino acid transport and metabolism	
COG0141	E	Amino acid transport and metabolism	
COG0145	E	Amino acid transport and metabolism	
COG0146	E	Amino acid transport and metabolism	
COG0147	E	Amino acid transport and metabolism	
COG0159	E	Amino acid transport and metabolism	
COG0160	E	Amino acid transport and metabolism	
COG0165	E	Amino acid transport and metabolism	
COG0169	E	Amino acid transport and metabolism	
COG0174	E	Amino acid transport and metabolism	
COG0175	E	Amino acid transport and metabolism	
COG0182	E	Amino acid transport and metabolism	
COG0241	E	Amino acid transport and metabolism	
COG0253	E	Amino acid transport and metabolism	
COG0260	E	Amino acid transport and metabolism	
COG0263	E	Amino acid transport and metabolism	
COG0287	E	Amino acid transport and metabolism	
COG0289	E	Amino acid transport and metabolism	
COG0308	E	Amino acid transport and metabolism	
COG0329	E	Amino acid transport and metabolism	
COG0334	E	Amino acid transport and metabolism	
COG0337	E	Amino acid transport and metabolism	
COG0339	E	Amino acid transport and metabolism	
COG0345	E	Amino acid transport and metabolism	
COG0347	E	Amino acid transport and metabolism	
COG0367	E	Amino acid transport and metabolism	
COG0403	E	Amino acid transport and metabolism	
COG0404	E	Amino acid transport and metabolism	
COG0405	E	Amino acid transport and metabolism	
COG0410	E	Amino acid transport and metabolism	
COG0411	E	Amino acid transport and metabolism	
COG0421	E	Amino acid transport and metabolism	
COG0436	E	Amino acid transport and metabolism	
COG0440	E	Amino acid transport and metabolism	
COG0444	E	Amino acid transport and metabolism	
COG0458	E	Amino acid transport and metabolism	
COG0460	E	Amino acid transport and metabolism	
COG0462	E	Amino acid transport and metabolism	
COG0473	E	Amino acid transport and metabolism	
COG0477	E	Amino acid transport and metabolism	
COG0493	E	Amino acid transport and metabolism	
COG0498	E	Amino acid transport and metabolism	
COG0505	E	Amino acid transport and metabolism	
COG0506	E	Amino acid transport and metabolism	
COG0509	E	Amino acid transport and metabolism	
COG0512	E	Amino acid transport and metabolism	
COG0520	E	Amino acid transport and metabolism	
COG0527	E	Amino acid transport and metabolism	
COG0531	E	Amino acid transport and metabolism	
COG0547	E	Amino acid transport and metabolism	
COG0548	E	Amino acid transport and metabolism	
COG0549	E	Amino acid transport and metabolism	
COG0559	E	Amino acid transport and metabolism	
COG0560	E	Amino acid transport and metabolism	
COG0591	E	Amino acid transport and metabolism	
COG0601	E	Amino acid transport and metabolism	
COG0620	E	Amino acid transport and metabolism	
COG0624	E	Amino acid transport and metabolism	
COG0626	E	Amino acid transport and metabolism	
COG0646	E	Amino acid transport and metabolism	
COG0665	E	Amino acid transport and metabolism	
COG0683	E	Amino acid transport and metabolism	
COG0685	E	Amino acid transport and metabolism	
COG0686	E	Amino acid transport and metabolism	
COG0687	E	Amino acid transport and metabolism	
COG0697	E	Amino acid transport and metabolism	
COG0703	E	Amino acid transport and metabolism	
COG0709	E	Amino acid transport and metabolism	
COG0710	E	Amino acid transport and metabolism	
COG0722	E	Amino acid transport and metabolism	
COG0747	E	Amino acid transport and metabolism	
COG0754	E	Amino acid transport and metabolism	
COG0757	E	Amino acid transport and metabolism	
COG0765	E	Amino acid transport and metabolism	
COG0786	E	Amino acid transport and metabolism	
COG0804	E	Amino acid transport and metabolism	
COG0814	E	Amino acid transport and metabolism	
COG0831	E	Amino acid transport and metabolism	
COG0832	E	Amino acid transport and metabolism	
COG0833	E	Amino acid transport and metabolism	
COG0834	E	Amino acid transport and metabolism	
COG1003	E	Amino acid transport and metabolism	
COG1027	E	Amino acid transport and metabolism	
COG1045	E	Amino acid transport and metabolism	
COG1063	E	Amino acid transport and metabolism	
COG1104	E	Amino acid transport and metabolism	
COG1113	E	Amino acid transport and metabolism	
COG1114	E	Amino acid transport and metabolism	
COG1115	E	Amino acid transport and metabolism	
COG1124	E	Amino acid transport and metabolism	
COG1125	E	Amino acid transport and metabolism	
COG1126	E	Amino acid transport and metabolism	
COG1135	E	Amino acid transport and metabolism	
COG1164	E	Amino acid transport and metabolism	
COG1166	E	Amino acid transport and metabolism	
COG1167	E	Amino acid transport and metabolism	
COG1168	E	Amino acid transport and metabolism	
COG1171	E	Amino acid transport and metabolism	
COG1173	E	Amino acid transport and metabolism	
COG1174	E	Amino acid transport and metabolism	
COG1176	E	Amino acid transport and metabolism	
COG1177	E	Amino acid transport and metabolism	
COG1231	E	Amino acid transport and metabolism	
COG1246	E	Amino acid transport and metabolism	
COG1247	E	Amino acid transport and metabolism	
COG1279	E	Amino acid transport and metabolism	
COG1280	E	Amino acid transport and metabolism	
COG1296	E	Amino acid transport and metabolism	
COG1350	E	Amino acid transport and metabolism	
COG1362	E	Amino acid transport and metabolism	
COG1363	E	Amino acid transport and metabolism	
COG1364	E	Amino acid transport and metabolism	
COG1387	E	Amino acid transport and metabolism	
COG1410	E	Amino acid transport and metabolism	
COG1446	E	Amino acid transport and metabolism	
COG1448	E	Amino acid transport and metabolism	
COG1465	E	Amino acid transport and metabolism	
COG1505	E	Amino acid transport and metabolism	
COG1506	E	Amino acid transport and metabolism	
COG1509	E	Amino acid transport and metabolism	
COG1586	E	Amino acid transport and metabolism	
COG1605	E	Amino acid transport and metabolism	
COG1685	E	Amino acid transport and metabolism	
COG1687	E	Amino acid transport and metabolism	
COG1748	E	Amino acid transport and metabolism	
COG1760	E	Amino acid transport and metabolism	
COG1770	E	Amino acid transport and metabolism	
COG1791	E	Amino acid transport and metabolism	
COG1823	E	Amino acid transport and metabolism	
COG1834	E	Amino acid transport and metabolism	
COG1878	E	Amino acid transport and metabolism	
COG1897	E	Amino acid transport and metabolism	
COG1932	E	Amino acid transport and metabolism	
COG1945	E	Amino acid transport and metabolism	
COG1982	E	Amino acid transport and metabolism	
COG1984	E	Amino acid transport and metabolism	
COG2008	E	Amino acid transport and metabolism	
COG2011	E	Amino acid transport and metabolism	
COG2021	E	Amino acid transport and metabolism	
COG2040	E	Amino acid transport and metabolism	
COG2049	E	Amino acid transport and metabolism	
COG2056	E	Amino acid transport and metabolism	
COG2066	E	Amino acid transport and metabolism	
COG2071	E	Amino acid transport and metabolism	
COG2095	E	Amino acid transport and metabolism	
COG2113	E	Amino acid transport and metabolism	
COG2171	E	Amino acid transport and metabolism	
COG2195	E	Amino acid transport and metabolism	
COG2235	E	Amino acid transport and metabolism	
COG2309	E	Amino acid transport and metabolism	
COG2317	E	Amino acid transport and metabolism	
COG2355	E	Amino acid transport and metabolism	
COG2362	E	Amino acid transport and metabolism	
COG2423	E	Amino acid transport and metabolism	
COG2502	E	Amino acid transport and metabolism	
COG2515	E	Amino acid transport and metabolism	
COG2716	E	Amino acid transport and metabolism	
COG2755	E	Amino acid transport and metabolism	
COG2856	E	Amino acid transport and metabolism	
COG2873	E	Amino acid transport and metabolism	
COG2876	E	Amino acid transport and metabolism	
COG2902	E	Amino acid transport and metabolism	
COG2939	E	Amino acid transport and metabolism	
COG2957	E	Amino acid transport and metabolism	
COG2981	E	Amino acid transport and metabolism	
COG2986	E	Amino acid transport and metabolism	
COG2987	E	Amino acid transport and metabolism	
COG2988	E	Amino acid transport and metabolism	
COG3033	E	Amino acid transport and metabolism	
COG3048	E	Amino acid transport and metabolism	
COG3060	E	Amino acid transport and metabolism	
COG3075	E	Amino acid transport and metabolism	
COG3104	E	Amino acid transport and metabolism	
COG3138	E	Amino acid transport and metabolism	
COG3185	E	Amino acid transport and metabolism	
COG3186	E	Amino acid transport and metabolism	
COG3191	E	Amino acid transport and metabolism	
COG3192	E	Amino acid transport and metabolism	
COG3200	E	Amino acid transport and metabolism	
COG3232	E	Amino acid transport and metabolism	
COG3283	E	Amino acid transport and metabolism	
COG3340	E	Amino acid transport and metabolism	
COG3404	E	Amino acid transport and metabolism	
COG3457	E	Amino acid transport and metabolism	
COG3483	E	Amino acid transport and metabolism	
COG3579	E	Amino acid transport and metabolism	
COG3591	E	Amino acid transport and metabolism	
COG3616	E	Amino acid transport and metabolism	
COG3633	E	Amino acid transport and metabolism	
COG3643	E	Amino acid transport and metabolism	
COG3681	E	Amino acid transport and metabolism	
COG3705	E	Amino acid transport and metabolism	
COG3724	E	Amino acid transport and metabolism	
COG3741	E	Amino acid transport and metabolism	
COG3799	E	Amino acid transport and metabolism	
COG3842	E	Amino acid transport and metabolism	
COG3844	E	Amino acid transport and metabolism	
COG3931	E	Amino acid transport and metabolism	
COG3938	E	Amino acid transport and metabolism	
COG3968	E	Amino acid transport and metabolism	
COG3977	E	Amino acid transport and metabolism	
COG4091	E	Amino acid transport and metabolism	
COG4126	E	Amino acid transport and metabolism	
COG4160	E	Amino acid transport and metabolism	
COG4161	E	Amino acid transport and metabolism	
COG4166	E	Amino acid transport and metabolism	
COG4175	E	Amino acid transport and metabolism	
COG4176	E	Amino acid transport and metabolism	
COG4177	E	Amino acid transport and metabolism	
COG4187	E	Amino acid transport and metabolism	
COG4215	E	Amino acid transport and metabolism	
COG4229	E	Amino acid transport and metabolism	
COG4230	E	Amino acid transport and metabolism	
COG4302	E	Amino acid transport and metabolism	
COG4303	E	Amino acid transport and metabolism	
COG4311	E	Amino acid transport and metabolism	
COG4359	E	Amino acid transport and metabolism	
COG4392	E	Amino acid transport and metabolism	
COG4401	E	Amino acid transport and metabolism	
COG4413	E	Amino acid transport and metabolism	
COG4448	E	Amino acid transport and metabolism	
COG4583	E	Amino acid transport and metabolism	
COG4597	E	Amino acid transport and metabolism	
COG4598	E	Amino acid transport and metabolism	
COG4608	E	Amino acid transport and metabolism	
COG4690	E	Amino acid transport and metabolism	
COG4766	E	Amino acid transport and metabolism	
COG4810	E	Amino acid transport and metabolism	
COG4812	E	Amino acid transport and metabolism	
COG4816	E	Amino acid transport and metabolism	
COG4819	E	Amino acid transport and metabolism	
COG4820	E	Amino acid transport and metabolism	
COG4857	E	Amino acid transport and metabolism	
COG4865	E	Amino acid transport and metabolism	
COG4917	E	Amino acid transport and metabolism	
COG4992	E	Amino acid transport and metabolism	
COG5006	E	Amino acid transport and metabolism	
COG5630	E	Amino acid transport and metabolism	
COG0005	F	Nucleotide transport and metabolism	
COG0015	F	Nucleotide transport and metabolism	
COG0026	F	Nucleotide transport and metabolism	
COG0027	F	Nucleotide transport and metabolism	
COG0034	F	Nucleotide transport and metabolism	
COG0035	F	Nucleotide transport and metabolism	
COG0041	F	Nucleotide transport and metabolism	
COG0044	F	Nucleotide transport and metabolism	
COG0046	F	Nucleotide transport and metabolism	
COG0047	F	Nucleotide transport and metabolism	
COG0061	F	Nucleotide transport and metabolism	
COG0062	F	Nucleotide transport and metabolism	
COG0063	F	Nucleotide transport and metabolism	
COG0075	F	Nucleotide transport and metabolism	
COG0104	F	Nucleotide transport and metabolism	
COG0105	F	Nucleotide transport and metabolism	
COG0125	F	Nucleotide transport and metabolism	
COG0127	F	Nucleotide transport and metabolism	
COG0138	F	Nucleotide transport and metabolism	
COG0150	F	Nucleotide transport and metabolism	
COG0151	F	Nucleotide transport and metabolism	
COG0152	F	Nucleotide transport and metabolism	
COG0167	F	Nucleotide transport and metabolism	
COG0194	F	Nucleotide transport and metabolism	
COG0207	F	Nucleotide transport and metabolism	
COG0208	F	Nucleotide transport and metabolism	
COG0209	F	Nucleotide transport and metabolism	
COG0213	F	Nucleotide transport and metabolism	
COG0232	F	Nucleotide transport and metabolism	
COG0248	F	Nucleotide transport and metabolism	
COG0274	F	Nucleotide transport and metabolism	
COG0283	F	Nucleotide transport and metabolism	
COG0284	F	Nucleotide transport and metabolism	
COG0295	F	Nucleotide transport and metabolism	
COG0299	F	Nucleotide transport and metabolism	
COG0402	F	Nucleotide transport and metabolism	
COG0418	F	Nucleotide transport and metabolism	
COG0458	F	Nucleotide transport and metabolism	
COG0461	F	Nucleotide transport and metabolism	
COG0462	F	Nucleotide transport and metabolism	
COG0503	F	Nucleotide transport and metabolism	
COG0504	F	Nucleotide transport and metabolism	
COG0505	F	Nucleotide transport and metabolism	
COG0516	F	Nucleotide transport and metabolism	
COG0518	F	Nucleotide transport and metabolism	
COG0519	F	Nucleotide transport and metabolism	
COG0528	F	Nucleotide transport and metabolism	
COG0537	F	Nucleotide transport and metabolism	
COG0540	F	Nucleotide transport and metabolism	
COG0563	F	Nucleotide transport and metabolism	
COG0572	F	Nucleotide transport and metabolism	
COG0618	F	Nucleotide transport and metabolism	
COG0634	F	Nucleotide transport and metabolism	
COG0647	F	Nucleotide transport and metabolism	
COG0717	F	Nucleotide transport and metabolism	
COG0737	F	Nucleotide transport and metabolism	
COG0756	F	Nucleotide transport and metabolism	
COG0775	F	Nucleotide transport and metabolism	
COG0788	F	Nucleotide transport and metabolism	
COG0813	F	Nucleotide transport and metabolism	
COG0856	F	Nucleotide transport and metabolism	
COG1001	F	Nucleotide transport and metabolism	
COG1051	F	Nucleotide transport and metabolism	
COG1102	F	Nucleotide transport and metabolism	
COG1146	F	Nucleotide transport and metabolism	
COG1328	F	Nucleotide transport and metabolism	
COG1351	F	Nucleotide transport and metabolism	
COG1428	F	Nucleotide transport and metabolism	
