COG ID	COG Name	Isolate Genome Count	Metagenome Count	
COG0115	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	47301	7428	
COG0116	23S rRNA G2445 N2-methylase RlmL	33174	6842	
COG0117	Pyrimidine deaminase domain of riboflavin biosynthesis protein RibD	29280	7023	
COG0118	Imidazoleglycerol phosphate synthase glutamine amidotransferase subunit HisH	40913	7146	
COG0119	Isopropylmalate/homocitrate/citramalate synthases	41674	7439	
COG0120	Ribose 5-phosphate isomerase	34276	7078	
COG0121	Predicted glutamine amidotransferase	23200	6441	
COG0122	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase	24131	6808	
COG0123	Acetoin utilization deacetylase AcuC or a related deacetylase	22991	7040	
COG0124	Histidyl-tRNA synthetase	49816	7369	
COG0125	Thymidylate kinase	47661	7284	
COG0126	3-phosphoglycerate kinase	49479	7447	
COG0127	Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family	46631	7282	
COG0128	5-enolpyruvylshikimate-3-phosphate synthase	45967	7242	
COG0129	Dihydroxyacid dehydratase/phosphogluconate dehydratase	42307	7330	
COG0130	tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA	44492	7335	
COG0131	Imidazoleglycerol phosphate dehydratase HisB	40726	7126	
COG0132	Dethiobiotin synthetase	34677	6804	
COG0133	Tryptophan synthase beta chain	42277	7292	
COG0134	Indole-3-glycerol phosphate synthase	41608	7180	
COG0135	Phosphoribosylanthranilate isomerase	26261	7129	
COG0136	Aspartate-semialdehyde dehydrogenase	46630	7385	
COG0137	Argininosuccinate synthase	42610	7295	
COG0138	AICAR transformylase/IMP cyclohydrolase PurH	44103	7356	
COG0139	Phosphoribosyl-AMP cyclohydrolase	40779	7035	
COG0140	Phosphoribosyl-ATP pyrophosphohydrolase	17438	6929	
COG0141	Histidinol dehydrogenase	40333	7195	
COG0142	Geranylgeranyl pyrophosphate synthase	48798	7460	
COG0143	Methionyl-tRNA synthetase	49546	7434	
COG0144	16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family	44551	7187	
COG0145	N-methylhydantoinase A/oxoprolinase/acetone carboxylase, beta subunit	7006	6817	
COG0146	N-methylhydantoinase B/oxoprolinase/acetone carboxylase, alpha subunit	9193	6370	
COG0147	Anthranilate/para-aminobenzoate synthases component I	43522	7358	
COG0148	Enolase	49018	7453	
COG0149	Triosephosphate isomerase	49685	7413	
COG0150	Phosphoribosylaminoimidazole (AIR) synthetase	46122	7260	
COG0151	Phosphoribosylamine-glycine ligase	46656	7290	
COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase	46228	7336	
COG0153	Galactokinase	23808	6892	
COG0154	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase	40591	7478	
COG0155	Sulfite reductase, beta subunit (hemoprotein)	29197	7075	
COG0156	7-keto-8-aminopelargonate synthetase or related enzyme	39604	7317	
COG0157	Nicotinate-nucleotide pyrophosphorylase	34355	7143	
COG0158	Fructose-1,6-bisphosphatase	21973	6845	
COG0159	Tryptophan synthase alpha chain	41915	7167	
COG0160	4-aminobutyrate aminotransferase or related aminotransferase	32954	7040	
COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	37313	7205	
COG0162	Tyrosyl-tRNA synthetase	49742	7348	
COG0163	3-polyprenyl-4-hydroxybenzoate decarboxylase	22894	6795	
COG0164	Ribonuclease HII	48683	7290	
COG0165	Argininosuccinate lyase	42548	7264	
COG0166	Glucose-6-phosphate isomerase	47167	7361	
COG0167	Dihydroorotate dehydrogenase	47761	7377	
COG0168	Trk-type K+ transport system, membrane component	36642	6824	
COG0169	Shikimate 5-dehydrogenase	46265	7256	
COG0170	Dolichol kinase	2589	5513	
COG0171	NH3-dependent NAD+ synthetase	47210	7265	
COG0172	Seryl-tRNA synthetase	49618	7419	
COG0173	Aspartyl-tRNA synthetase	46563	7420	
COG0174	Glutamine synthetase	45869	7484	
COG0175	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme	30731	7202	
COG0176	Transaldolase	43720	7309	
COG0177	Endonuclease III	47729	7316	
COG0178	Excinuclease UvrABC ATPase subunit	48031	7483	
COG0179	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)	39313	7219	
COG0180	Tryptophanyl-tRNA synthetase	48495	7382	
COG0181	Porphobilinogen deaminase	40142	7199	
COG0182	Methylthioribose-1-phosphate isomerase (methionine salvage pathway), a paralog of eIF-2B alpha subunit	12951	6921	
COG0183	Acetyl-CoA acetyltransferase	41092	7424	
COG0184	Ribosomal protein S15P/S13E	49894	7412	
COG0185	Ribosomal protein S19	49254	7434	
COG0186	Ribosomal protein S17	50465	7407	
COG0187	DNA gyrase/topoisomerase IV, subunit B	49540	7482	
COG0188	DNA gyrase/topoisomerase IV, subunit A	49350	7480	
COG0189	Glutathione synthase/RimK-type ligase, ATP-grasp superfamily	26784	7090	
COG0190	5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase	48822	7312	
COG0191	Fructose/tagatose bisphosphate aldolase	43643	7261	
COG0192	S-adenosylmethionine synthetase	47425	7416	
COG0193	Peptidyl-tRNA hydrolase	48751	7315	
COG0194	Guanylate kinase	46720	7295	
COG0195	Transcription antitermination factor NusA, contains S1 and KH domains	49829	7326	
COG0196	FAD synthase	46203	7270	
COG0197	Ribosomal protein L16/L10AE	49966	7440	
COG0198	Ribosomal protein L24	48782	7420	
COG0199	Ribosomal protein S14	47368	7271	
COG0200	Ribosomal protein L15	49690	7453	
COG0201	Preprotein translocase subunit SecY	50156	7525	
COG0202	DNA-directed RNA polymerase, alpha subunit/40 kD subunit	50150	7494	
COG0203	Ribosomal protein L17	49405	7368	
COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase	46961	7394	
COG0205	6-phosphofructokinase	37285	7310	
COG0206	Cell division GTPase FtsZ	49016	7424	
COG0207	Thymidylate synthase	41785	7048	
COG0208	Ribonucleotide reductase beta subunit, ferritin-like domain	42395	7090	
COG0209	Ribonucleotide reductase alpha subunit	46126	7489	
COG0210	Superfamily I DNA or RNA helicase	49504	7437	
COG0211	Ribosomal protein L27	49119	7305	
COG0212	5-formyltetrahydrofolate cyclo-ligase	44851	7172	
COG0213	Thymidine phosphorylase	31465	6891	
COG0214	Pyridoxal biosynthesis lyase PdxS	17297	6794	
COG0215	Cysteinyl-tRNA synthetase	49540	7401	
COG0216	Protein chain release factor A	47995	7384	
COG0217	Transcriptional and/or translational regulatory protein YebC/TACO1	48478	7386	
COG0218	GTP-binding protein EngB required for normal cell division	40093	7178	
COG0219	tRNA(Leu) C34 or U34 (ribose-2'-O)-methylase TrmL, contains SPOUT domain	41241	6772	
COG0220	tRNA G46 methylase TrmB	44695	7068	
COG0221	Inorganic pyrophosphatase	31490	7131	
COG0222	Ribosomal protein L7/L12	48709	7353	
COG0223	Methionyl-tRNA formyltransferase	48681	7323	
COG0224	FoF1-type ATP synthase, gamma subunit	47437	7349	
COG0225	Peptide methionine sulfoxide reductase MsrA	44071	7238	
COG0226	ABC-type phosphate transport system, periplasmic component	43385	7379	
COG0227	Ribosomal protein L28	47195	7295	
COG0228	Ribosomal protein S16	49055	7312	
COG0229	Peptide methionine sulfoxide reductase MsrB	41652	7149	
COG0230	Ribosomal protein L34	11308	6645	
COG0231	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)	50150	7417	
COG0232	dGTP triphosphohydrolase	30130	6893	
COG0233	Ribosome recycling factor	49159	7364	
COG0234	Co-chaperonin GroES (HSP10)	48854	7393	
COG0235	Ribulose-5-phosphate 4-epimerase/Fuculose-1-phosphate aldolase	35268	7296	
COG0236	Acyl carrier protein	47711	7440	
COG0237	Dephospho-CoA kinase	45970	7276	
COG0238	Ribosomal protein S18	48663	7291	
COG0239	Fluoride ion exporter CrcB/FEX, affects chromosome condensation	39864	6857	
COG0240	Glycerol-3-phosphate dehydrogenase	46436	7257	
COG0241	Histidinol phosphatase or a related phosphatase	23798	6879	
COG0242	Peptide deformylase	49069	7368	
COG0243	Anaerobic selenocysteine-containing dehydrogenase	27841	7386	
COG0244	Ribosomal protein L10	49862	7435	
COG0245	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	34004	7141	
COG0246	Mannitol-1-phosphate/altronate dehydrogenases	26410	6494	
COG0247	Fe-S oxidoreductase	27109	7354	
COG0248	Exopolyphosphatase/pppGpp-phosphohydrolase	25068	7257	
COG0249	DNA mismatch repair ATPase MutS	38931	7339	
COG0250	Transcription antitermination factor NusG	49840	7492	
COG0251	Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family	45442	7338	
COG0252	L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D	39260	6991	
COG0253	Diaminopimelate epimerase	42425	7202	
COG0254	Ribosomal protein L31	48897	7295	
COG0255	Ribosomal protein L29	47517	7368	
COG0256	Ribosomal protein L18	50011	7436	
COG0257	Ribosomal protein L36	32849	6673	
COG0258	5'-3' exonuclease	27479	7273	
COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase	27476	6705	
COG0260	Leucyl aminopeptidase	38515	7196	
COG0261	Ribosomal protein L21	48861	7334	
COG0262	Dihydrofolate reductase	44700	7045	
COG0263	Glutamate 5-kinase	33741	7111	
COG0264	Translation elongation factor EF-Ts	44510	7376	
COG0265	Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain	48829	7548	
COG0266	Formamidopyrimidine-DNA glycosylase	42097	7069	
COG0267	Ribosomal protein L33	46215	7156	
COG0268	Ribosomal protein S20	44976	7229	
COG0269	3-keto-L-gulonate-6-phosphate decarboxylase	19201	6100	
COG0270	Site-specific DNA-cytosine methylase	22446	6951	
COG0271	Stress-induced morphogen (activity unknown)	21843	6429	
COG0272	NAD-dependent DNA ligase	47319	7342	
COG0274	Deoxyribose-phosphate aldolase	35507	7042	
COG0275	16S rRNA C1402 N4-methylase RsmH	48795	7355	
COG0276	Protoheme ferro-lyase (ferrochelatase)	39774	7134	
COG0277	FAD/FMN-containing dehydrogenase	36109	7414	
COG0278	Glutaredoxin-related protein	22277	6522	
COG0279	Phosphoheptose isomerase	24284	7003	
COG0280	Phosphotransacetylase	40046	7139	
COG0281	Malic enzyme	43227	7296	
COG0282	Acetate kinase	40429	7024	
COG0283	Cytidylate kinase	44060	7327	
COG0284	Orotidine-5'-phosphate decarboxylase	47052	7259	
COG0285	Folylpolyglutamate synthase/Dihydropteroate synthase	46516	7317	
COG0286	Type I restriction-modification system, DNA methylase subunit	32851	7080	
COG0287	Prephenate dehydrogenase	39482	7182	
COG0288	Carbonic anhydrase	35169	7046	
COG0289	Dihydrodipicolinate reductase	45036	7228	
COG0290	Translation initiation factor IF-3	44434	7409	
COG0291	Ribosomal protein L35	46690	7278	
COG0292	Ribosomal protein L20	48957	7394	
COG0293	23S rRNA U2552 (ribose-2'-O)-methylase RlmE/FtsJ	22483	6770	
COG0294	Dihydropteroate synthase	44930	7260	
COG0295	Cytidine deaminase	35414	6840	
COG0296	1,4-alpha-glucan branching enzyme	29526	7246	
COG0297	Glycogen synthase	23608	7233	
COG0298	Hydrogenase maturation factor	13745	6271	
COG0299	Folate-dependent phosphoribosylglycinamide formyltransferase PurN	44823	7095	
COG0300	Short-chain dehydrogenase	44467	7372	
COG0301	Adenylyl- and sulfurtransferase ThiI, participates in tRNA 4-thiouridine and thiamine biosynthesis	27068	6339	
COG0302	GTP cyclohydrolase I	36932	7256	
COG0303	Molybdopterin biosynthesis enzyme	37350	7263	
COG0304	3-oxoacyl-(acyl-carrier-protein) synthase	46009	7394	
COG0305	Replicative DNA helicase	48217	7386	
COG0306	Phosphate/sulfate permease	22076	7086	
COG0307	Riboflavin synthase alpha chain	42757	7254	
COG0308	Aminopeptidase N	31319	7294	
COG0309	Hydrogenase maturation factor	14580	6691	
COG0310	ABC-type Co2+ transport system, permease component	9308	5903	
COG0311	Glutamine amidotransferase PdxT (pyridoxal biosynthesis)	16873	6640	
COG0312	Predicted Zn-dependent protease or its inactivated homolog	26639	7186	
COG0313	16S rRNA C1402 (ribose-2'-O) methylase RsmI	47680	7212	
COG0314	Molybdopterin synthase catalytic subunit	35263	6935	
COG0315	Molybdenum cofactor biosynthesis enzyme	37545	7085	
COG0316	Fe-S cluster assembly iron-binding protein IscA	37548	7230	
COG0317	(p)ppGpp synthase/hydrolase, HD superfamily	45835	7449	
COG0318	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	41965	7363	
COG0319	ssRNA-specific RNase YbeY, 16S rRNA maturation enzyme	47698	7164	
COG0320	Lipoate synthase	38306	7267	
COG0321	Lipoate-protein ligase B	29881	6997	
COG0322	Excinuclease UvrABC, nuclease subunit	45401	7379	
COG0323	DNA mismatch repair ATPase MutL	37823	7282	
COG0324	tRNA A37 N6-isopentenylltransferase MiaA	48031	7289	
COG0325	Uncharacterized pyridoxal phosphate-containing protein, affects Ilv metabolism, UPF0001 family	44931	7179	
COG0326	Molecular chaperone, HSP90 family	29595	7118	
COG0327	Putative GTP cyclohydrolase 1 type 2, NIF3 family	27985	6849	
COG0328	Ribonuclease HI	40443	7187	
COG0329	Dihydrodipicolinate synthase/N-acetylneuraminate lyase	47384	7421	
COG0330	Regulator of protease activity HflC, stomatin/prohibitin superfamily	40472	7538	
COG0331	Malonyl CoA-acyl carrier protein transacylase	45456	7299	
COG0332	3-oxoacyl-[acyl-carrier-protein] synthase III	45329	7331	
COG0333	Ribosomal protein L32	43605	7176	
COG0334	Glutamate dehydrogenase/leucine dehydrogenase	39101	7326	
COG0335	Ribosomal protein L19	48963	7351	
COG0336	tRNA G37 N-methylase TrmD	48603	7331	
COG0337	3-dehydroquinate synthetase	45303	7187	
COG0338	Site-specific DNA-adenine methylase	19649	6682	
COG0339	Zn-dependent oligopeptidase	24224	6975	
COG0340	Biotin-(acetyl-CoA carboxylase) ligase	46351	7221	
COG0341	Preprotein translocase subunit SecF	32761	7298	
COG0342	Preprotein translocase subunit SecD	41216	7311	
COG0343	Queuine/archaeosine tRNA-ribosyltransferase	44440	7279	
COG0344	Phospholipid biosynthesis protein PlsY, probable glycerol-3-phosphate acyltransferase	36124	7016	
COG0345	Pyrroline-5-carboxylate reductase	45392	7164	
COG0346	Catechol 2,3-dioxygenase or other lactoylglutathione lyase family enzyme	44102	7256	
COG0347	Nitrogen regulatory protein PII	31352	7249	
COG0348	Polyferredoxin	14197	6810	
COG0349	Ribonuclease D	24528	6855	
COG0350	O6-methylguanine-DNA--protein-cysteine methyltransferase	42903	7109	
COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	43603	7136	
COG0352	Thiamine monophosphate synthase	41221	7104	
COG0353	Recombinational DNA repair protein RecR	48382	7246	
COG0354	Folate-binding Fe-S cluster repair protein YgfZ, possible role in tRNA modification	26733	6754	
COG0355	FoF1-type ATP synthase, epsilon subunit	42865	7301	
COG0356	FoF1-type ATP synthase, membrane subunit a	47064	7406	
COG0357	16S rRNA G527 N7-methylase RsmG (former glucose-inhibited division protein B)	45119	7107	
COG0358	DNA primase (bacterial type)	48560	7418	
COG0359	Ribosomal protein L9	47967	7366	
COG0360	Ribosomal protein S6	49001	7338	
COG0361	Translation initiation factor IF-1	50159	7436	
COG0362	6-phosphogluconate dehydrogenase	30654	6996	
COG0363	6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase	40970	7148	
COG0364	Glucose-6-phosphate 1-dehydrogenase	37494	7215	
COG0365	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase	39441	7312	
COG0366	Glycosidase	38315	7312	
COG0367	Asparagine synthetase B (glutamine-hydrolyzing)	28365	7236	
COG0368	Cobalamin synthase	25999	6500	
COG0369	Sulfite reductase, alpha subunit (flavoprotein)	24480	6645	
COG0370	Fe2+ transport system protein B	30208	7171	
COG0371	Glycerol dehydrogenase or related enzyme, iron-containing ADH family	17822	6516	
COG0372	Citrate synthase	41169	7357	
COG0373	Glutamyl-tRNA reductase	36225	7221	
COG0374	Ni,Fe-hydrogenase I large subunit	10350	6693	
COG0375	Zn finger protein HypA/HybF (possibly regulating hydrogenase expression)	13596	6374	
COG0376	Catalase (peroxidase I)	21791	6376	
COG0377	NADH:ubiquinone oxidoreductase 20 kD subunit (chhain B) or related Fe-S oxidoreductase	29697	7252	
COG0378	Ni2+-binding GTPase involved in regulation of expression and maturation of urease and hydrogenase	30253	6965	
COG0379	Quinolinate synthase	31501	7153	
COG0380	Trehalose-6-phosphate synthase	19275	6593	
COG0381	UDP-N-acetylglucosamine 2-epimerase	33333	7146	
COG0382	4-hydroxybenzoate polyprenyltransferase	33281	7151	
COG0383	Alpha-mannosidase	11380	6590	
COG0384	Predicted epimerase YddE/YHI9, PhzF superfamily	28142	6616	
COG0385	Predicted Na+-dependent transporter	29248	6630	
COG0386	Glutathione peroxidase, house-cleaning role in reducing lipid peroxides	33189	6929	
COG0387	Ca2+/H+ antiporter	16827	5884	
COG0388	Predicted amidohydrolase	42620	7378	
COG0389	Nucleotidyltransferase/DNA polymerase involved in DNA repair	45506	7129	
COG0390	ABC-type iron transport system FetAB, permease component	23588	5983	
COG0391	Archaeal 2-phospho-L-lactate transferase/Bacterial gluconeogenesis factor, CofD/UPF0052 family	31626	6778	
COG0392	Uncharacterized membrane protein YbhN, UPF0104 family	25650	6850	
COG0393	Uncharacterized conserved protein YbjQ, UPF0145 family	21404	6797	
COG0394	Protein-tyrosine-phosphatase	42633	7311	
COG0395	ABC-type glycerol-3-phosphate transport system, permease component	31239	7142	
COG0396	Fe-S cluster assembly ATPase SufC	37718	7265	
COG0397	Uncharacterized conserved protein YdiU, UPF0061 family	21706	6322	
COG0398	Uncharacterized membrane protein YdjX, TVP38/TMEM64 family, SNARE-associated domain	28368	6709	
COG0399	dTDP-4-amino-4,6-dideoxygalactose transaminase	36666	7386	
COG0400	Predicted esterase	26697	6803	
COG0401	Uncharacterized membrane protein YqaE, homolog of Blt101, UPF0057 family	11883	4952	
COG0402	Cytosine/adenosine deaminase or related metal-dependent hydrolase	30886	7199	
COG0403	Glycine cleavage system protein P (pyridoxal-binding), N-terminal domain	12912	7195	
COG0404	Glycine cleavage system T protein (aminomethyltransferase)	36549	7276	
COG0405	Gamma-glutamyltranspeptidase	33629	7023	
COG0406	Broad specificity phosphatase PhoE	44026	7329	
COG0407	Uroporphyrinogen-III decarboxylase	39783	7217	
COG0408	Coproporphyrinogen III oxidase	21062	6243	
COG0409	Hydrogenase maturation factor	13399	6576	
COG0410	ABC-type branched-chain amino acid transport system, ATPase component	25733	7145	
COG0411	ABC-type branched-chain amino acid transport system, ATPase component	24800	7043	
COG0412	Dienelactone hydrolase	27937	7215	
COG0413	Ketopantoate hydroxymethyltransferase	39571	7233	
COG0414	Panthothenate synthetase	39254	7100	
COG0415	Deoxyribodipyrimidine photolyase	30680	6546	
COG0416	Fatty acid/phospholipid biosynthesis enzyme	36717	7244	
COG0417	DNA polymerase elongation subunit (family B)	13412	6858	
COG0418	Dihydroorotase	19265	6288	
COG0419	DNA repair exonuclease SbcCD ATPase subunit	29805	7223	
COG0420	DNA repair exonuclease SbcCD nuclease subunit	35749	7069	
COG0421	Spermidine synthase	21743	7106	
COG0422	Thiamine biosynthesis protein ThiC	30270	7134	
COG0423	Glycyl-tRNA synthetase (class II)	19261	7123	
COG0424	Predicted house-cleaning NTP pyrophosphatase, Maf/HAM1 superfamily	37368	7106	
COG0425	TusA-related sulfurtransferase	30964	7133	
COG0426	Flavorubredoxin	12333	6765	
COG0427	Acyl-CoA hydrolase	17300	6794	
COG0428	Zinc transporter ZupT	25667	6904	
COG0429	Predicted hydrolase of the alpha/beta-hydrolase fold	18386	6445	
COG0430	RNA 3'-terminal phosphate cyclase	7504	5676	
COG0431	NAD(P)H-dependent FMN reductase	38413	6847	
COG0432	Thiamin phosphate synthase YjbQ, UPF0047 family	23451	6945	
COG0433	Archaeal DNA helicase HerA or a related bacterial ATPase, contains HAS-barrel and ATPase domains	22499	6946	
COG0434	Predicted TIM-barrel enzyme	5776	5837	
COG0435	Glutathionyl-hydroquinone reductase	18241	6308	
COG0436	Aspartate/methionine/tyrosine aminotransferase	49067	7572	
COG0437	Fe-S-cluster-containing dehydrogenase component	20335	7233	
