"RefSoil ID"	"Phylum"	"Contains.plasmid"	"Elements"	"Gene"	"chromosome"	"plasmid"	"Total"	"Rel"
"RefSoil_116"	"Proteobacteria"	TRUE	3	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_117"	"Proteobacteria"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_117"	"Proteobacteria"	FALSE	1	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_117"	"Proteobacteria"	FALSE	1	"arsM"	1	0	1	0.00108459869848156
"RefSoil_118"	"Proteobacteria"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_118"	"Proteobacteria"	FALSE	1	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_119"	"Proteobacteria"	TRUE	4	"aioA"	0	1	1	0.00108459869848156
"RefSoil_119"	"Proteobacteria"	TRUE	4	"arsC_glut"	1	1	2	0.00216919739696312
"RefSoil_12"	"Chloroflexi"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_12"	"Chloroflexi"	FALSE	1	"arsM"	1	0	1	0.00108459869848156
"RefSoil_120"	"Proteobacteria"	TRUE	2	"arsB"	1	0	1	0.00108459869848156
"RefSoil_120"	"Proteobacteria"	TRUE	2	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_121"	"Proteobacteria"	TRUE	4	"acr3"	1	0	1	0.00108459869848156
"RefSoil_121"	"Proteobacteria"	TRUE	4	"arsB"	0	1	1	0.00108459869848156
"RefSoil_121"	"Proteobacteria"	TRUE	4	"arsC_glut"	2	0	2	0.00216919739696312
"RefSoil_122"	"Acidobacteria"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_122"	"Acidobacteria"	FALSE	1	"arsC_thio"	1	0	1	0.00108459869848156
"RefSoil_123"	"Proteobacteria"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_123"	"Proteobacteria"	FALSE	1	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_124"	"Proteobacteria"	FALSE	1	"None"	1	0	1	0.00108459869848156
"RefSoil_125"	"Actinobacteria"	TRUE	2	"acr3"	1	0	1	0.00108459869848156
"RefSoil_125"	"Actinobacteria"	TRUE	2	"arsB"	1	0	1	0.00108459869848156
"RefSoil_125"	"Actinobacteria"	TRUE	2	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_126"	"Actinobacteria"	FALSE	1	"arsB"	2	0	2	0.00216919739696312
"RefSoil_127"	"Proteobacteria"	TRUE	3	"arsB"	1	0	1	0.00108459869848156
"RefSoil_127"	"Proteobacteria"	TRUE	3	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_128"	"Proteobacteria"	TRUE	4	"arsB"	1	0	1	0.00108459869848156
"RefSoil_128"	"Proteobacteria"	TRUE	4	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_129"	"Proteobacteria"	FALSE	1	"None"	1	0	1	0.00108459869848156
"RefSoil_13"	"Proteobacteria"	TRUE	2	"arsC_thio"	1	0	1	0.00108459869848156
"RefSoil_130"	"Proteobacteria"	TRUE	4	"acr3"	1	0	1	0.00108459869848156
"RefSoil_130"	"Proteobacteria"	TRUE	4	"arsC_glut"	1	1	2	0.00216919739696312
"RefSoil_131"	"Bacteroidetes"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_131"	"Bacteroidetes"	FALSE	1	"arsM"	1	0	1	0.00108459869848156
"RefSoil_132"	"Firmicutes"	FALSE	1	"None"	1	0	1	0.00108459869848156
"RefSoil_133"	"Actinobacteria"	TRUE	4	"acr3"	1	0	1	0.00108459869848156
"RefSoil_133"	"Actinobacteria"	TRUE	4	"arsB"	1	0	1	0.00108459869848156
"RefSoil_133"	"Actinobacteria"	TRUE	4	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_134"	"Actinobacteria"	FALSE	1	"None"	1	0	1	0.00108459869848156
"RefSoil_135"	"Proteobacteria"	TRUE	3	"acr3"	1	0	1	0.00108459869848156
"RefSoil_135"	"Proteobacteria"	TRUE	3	"arsB"	1	0	1	0.00108459869848156
"RefSoil_135"	"Proteobacteria"	TRUE	3	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_136"	"Proteobacteria"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_136"	"Proteobacteria"	FALSE	1	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_137"	"Proteobacteria"	TRUE	7	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_138"	"Proteobacteria"	TRUE	4	"acr3"	1	0	1	0.00108459869848156
"RefSoil_138"	"Proteobacteria"	TRUE	4	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_139"	"Proteobacteria"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_139"	"Proteobacteria"	FALSE	1	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_14"	"Proteobacteria"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_14"	"Proteobacteria"	FALSE	1	"arsC_thio"	1	0	1	0.00108459869848156
"RefSoil_140"	"Proteobacteria"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_140"	"Proteobacteria"	FALSE	1	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_141"	"Firmicutes"	TRUE	3	"arsC_thio"	1	0	1	0.00108459869848156
"RefSoil_141"	"Firmicutes"	TRUE	3	"arsD"	0	1	1	0.00108459869848156
"RefSoil_142"	"Spirochaetes"	FALSE	2	"None"	2	0	2	0.00216919739696312
"RefSoil_143"	"Spirochaetes"	FALSE	2	"None"	2	0	2	0.00216919739696312
"RefSoil_144"	"Acidobacteria"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_144"	"Acidobacteria"	FALSE	1	"arsM"	1	0	1	0.00108459869848156
"RefSoil_145"	"Actinobacteria"	TRUE	4	"acr3"	1	0	1	0.00108459869848156
"RefSoil_146"	"Proteobacteria"	TRUE	4	"acr3"	1	0	1	0.00108459869848156
"RefSoil_146"	"Proteobacteria"	TRUE	4	"arsB"	1	0	1	0.00108459869848156
"RefSoil_146"	"Proteobacteria"	TRUE	4	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_147"	"Firmicutes"	FALSE	1	"None"	1	0	1	0.00108459869848156
"RefSoil_148"	"Actinobacteria"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_148"	"Actinobacteria"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_148"	"Actinobacteria"	FALSE	1	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_149"	"Proteobacteria"	TRUE	3	"acr3"	1	0	1	0.00108459869848156
"RefSoil_149"	"Proteobacteria"	TRUE	3	"arsC_thio"	1	0	1	0.00108459869848156
"RefSoil_15"	"Actinobacteria"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_15"	"Actinobacteria"	FALSE	1	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_150"	"Chlorobi"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_150"	"Chlorobi"	FALSE	1	"arsC_thio"	2	0	2	0.00216919739696312
"RefSoil_151"	"Actinobacteria"	TRUE	2	"acr3"	1	0	1	0.00108459869848156
"RefSoil_151"	"Actinobacteria"	TRUE	2	"arsM"	1	0	1	0.00108459869848156
"RefSoil_152"	"Proteobacteria"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_152"	"Proteobacteria"	FALSE	1	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_153"	"Proteobacteria"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_153"	"Proteobacteria"	FALSE	1	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_153"	"Proteobacteria"	FALSE	1	"arsD"	1	0	1	0.00108459869848156
"RefSoil_154"	"Actinobacteria"	TRUE	3	"acr3"	1	0	1	0.00108459869848156
"RefSoil_154"	"Actinobacteria"	TRUE	3	"arsB"	1	0	1	0.00108459869848156
"RefSoil_154"	"Actinobacteria"	TRUE	3	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_155"	"Spirochaetes"	TRUE	9	"None"	1	8	9	0.00976138828633406
"RefSoil_156"	"Actinobacteria"	TRUE	3	"None"	1	2	3	0.00325379609544469
"RefSoil_157"	"Proteobacteria"	TRUE	3	"acr3"	1	0	1	0.00108459869848156
"RefSoil_157"	"Proteobacteria"	TRUE	3	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_158"	"Proteobacteria"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_158"	"Proteobacteria"	FALSE	1	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_159"	"Proteobacteria"	TRUE	9	"acr3"	1	0	1	0.00108459869848156
"RefSoil_159"	"Proteobacteria"	TRUE	9	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_16"	"Proteobacteria"	TRUE	2	"None"	1	1	2	0.00216919739696312
"RefSoil_160"	"Proteobacteria"	TRUE	3	"acr3"	2	0	2	0.00216919739696312
"RefSoil_160"	"Proteobacteria"	TRUE	3	"arsC_glut"	2	0	2	0.00216919739696312
"RefSoil_161"	"Proteobacteria"	TRUE	2	"None"	1	1	2	0.00216919739696312
"RefSoil_162"	"Proteobacteria"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_162"	"Proteobacteria"	FALSE	1	"arsC_thio"	1	0	1	0.00108459869848156
"RefSoil_162"	"Proteobacteria"	FALSE	1	"arxA"	1	0	1	0.00108459869848156
"RefSoil_163"	"Proteobacteria"	TRUE	2	"acr3"	2	0	2	0.00216919739696312
"RefSoil_164"	"Firmicutes"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_165"	"Proteobacteria"	TRUE	3	"acr3"	1	0	1	0.00108459869848156
"RefSoil_165"	"Proteobacteria"	TRUE	3	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_166"	"Proteobacteria"	FALSE	2	"acr3"	1	0	1	0.00108459869848156
"RefSoil_166"	"Proteobacteria"	FALSE	2	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_167"	"Actinobacteria"	FALSE	1	"acr3"	2	0	2	0.00216919739696312
"RefSoil_167"	"Actinobacteria"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_167"	"Actinobacteria"	FALSE	1	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_168"	"Proteobacteria"	FALSE	2	"acr3"	1	0	1	0.00108459869848156
"RefSoil_168"	"Proteobacteria"	FALSE	2	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_169"	"Actinobacteria"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_17"	"Firmicutes"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_170"	"Proteobacteria"	TRUE	8	"acr3"	1	0	1	0.00108459869848156
"RefSoil_170"	"Proteobacteria"	TRUE	8	"arsB"	1	0	1	0.00108459869848156
"RefSoil_170"	"Proteobacteria"	TRUE	8	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_170"	"Proteobacteria"	TRUE	8	"arsD"	1	0	1	0.00108459869848156
"RefSoil_171"	"Firmicutes"	TRUE	2	"acr3"	1	0	1	0.00108459869848156
"RefSoil_171"	"Firmicutes"	TRUE	2	"arsB"	1	0	1	0.00108459869848156
"RefSoil_171"	"Firmicutes"	TRUE	2	"arsC_thio"	1	0	1	0.00108459869848156
"RefSoil_172"	"Actinobacteria"	TRUE	4	"acr3"	2	0	2	0.00216919739696312
"RefSoil_172"	"Actinobacteria"	TRUE	4	"arsB"	1	0	1	0.00108459869848156
"RefSoil_172"	"Actinobacteria"	TRUE	4	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_173"	"Actinobacteria"	TRUE	2	"acr3"	2	0	2	0.00216919739696312
"RefSoil_173"	"Actinobacteria"	TRUE	2	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_174"	"Actinobacteria"	FALSE	1	"arsC_thio"	1	0	1	0.00108459869848156
"RefSoil_175"	"Proteobacteria"	TRUE	6	"acr3"	1	0	1	0.00108459869848156
"RefSoil_176"	"Proteobacteria"	FALSE	1	"acr3"	2	0	2	0.00216919739696312
"RefSoil_176"	"Proteobacteria"	FALSE	1	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_176"	"Proteobacteria"	FALSE	1	"arsD"	1	0	1	0.00108459869848156
"RefSoil_177"	"Proteobacteria"	TRUE	2	"arsB"	0	1	1	0.00108459869848156
"RefSoil_177"	"Proteobacteria"	TRUE	2	"arsC_glut"	1	1	2	0.00216919739696312
"RefSoil_178"	"Proteobacteria"	FALSE	1	"arrA"	1	0	1	0.00108459869848156
"RefSoil_178"	"Proteobacteria"	FALSE	1	"arsB"	2	0	2	0.00216919739696312
"RefSoil_178"	"Proteobacteria"	FALSE	1	"arsC_glut"	3	0	3	0.00325379609544469
"RefSoil_178"	"Proteobacteria"	FALSE	1	"arsD"	1	0	1	0.00108459869848156
"RefSoil_179"	"Proteobacteria"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_179"	"Proteobacteria"	FALSE	1	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_18"	"Firmicutes"	TRUE	2	"acr3"	0	1	1	0.00108459869848156
"RefSoil_180"	"Bacteroidetes"	FALSE	1	"acr3"	3	0	3	0.00325379609544469
"RefSoil_180"	"Bacteroidetes"	FALSE	1	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_181"	"Proteobacteria"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_182"	"Chloroflexi"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_182"	"Chloroflexi"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_182"	"Chloroflexi"	FALSE	1	"arsM"	1	0	1	0.00108459869848156
"RefSoil_183"	"Euryarchaeota"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_183"	"Euryarchaeota"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_184"	"Actinobacteria"	TRUE	3	"None"	1	2	3	0.00325379609544469
"RefSoil_185"	"Proteobacteria"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_185"	"Proteobacteria"	FALSE	1	"arrA"	1	0	1	0.00108459869848156
"RefSoil_185"	"Proteobacteria"	FALSE	1	"arsD"	1	0	1	0.00108459869848156
"RefSoil_186"	"Proteobacteria"	TRUE	9	"arsB"	1	0	1	0.00108459869848156
"RefSoil_186"	"Proteobacteria"	TRUE	9	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_187"	"Proteobacteria"	FALSE	1	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_188"	"Proteobacteria"	FALSE	2	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_189"	"Proteobacteria"	TRUE	3	"arsC_glut"	2	0	2	0.00216919739696312
"RefSoil_19"	"Proteobacteria"	TRUE	4	"acr3"	1	0	1	0.00108459869848156
"RefSoil_19"	"Proteobacteria"	TRUE	4	"arsB"	1	0	1	0.00108459869848156
"RefSoil_19"	"Proteobacteria"	TRUE	4	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_190"	"Proteobacteria"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_190"	"Proteobacteria"	FALSE	1	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_191"	"Euryarchaeota"	FALSE	1	"None"	1	0	1	0.00108459869848156
"RefSoil_192"	"Proteobacteria"	TRUE	3	"arsB"	1	0	1	0.00108459869848156
"RefSoil_192"	"Proteobacteria"	TRUE	3	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_193"	"Actinobacteria"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_193"	"Actinobacteria"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_194"	"Firmicutes"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_194"	"Firmicutes"	FALSE	1	"arsD"	1	0	1	0.00108459869848156
"RefSoil_195"	"Proteobacteria"	TRUE	6	"arsB"	1	1	2	0.00216919739696312
"RefSoil_195"	"Proteobacteria"	TRUE	6	"arsC_glut"	2	1	3	0.00325379609544469
"RefSoil_195"	"Proteobacteria"	TRUE	6	"arsD"	0	2	2	0.00216919739696312
"RefSoil_196"	"Proteobacteria"	FALSE	1	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_197"	"Proteobacteria"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_197"	"Proteobacteria"	FALSE	1	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_198"	"Actinobacteria"	TRUE	3	"acr3"	1	0	1	0.00108459869848156
"RefSoil_199"	"Proteobacteria"	TRUE	6	"acr3"	1	0	1	0.00108459869848156
"RefSoil_199"	"Proteobacteria"	TRUE	6	"arsC_glut"	2	0	2	0.00216919739696312
"RefSoil_2"	"Proteobacteria"	FALSE	1	"None"	1	0	1	0.00108459869848156
"RefSoil_20"	"Actinobacteria"	TRUE	2	"arsB"	1	0	1	0.00108459869848156
"RefSoil_200"	"Firmicutes"	TRUE	2	"acr3"	1	0	1	0.00108459869848156
"RefSoil_200"	"Firmicutes"	TRUE	2	"arsC_thio"	1	0	1	0.00108459869848156
"RefSoil_201"	"Proteobacteria"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_202"	"Firmicutes"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_202"	"Firmicutes"	FALSE	1	"arsD"	1	0	1	0.00108459869848156
"RefSoil_203"	"Firmicutes"	TRUE	2	"None"	1	1	2	0.00216919739696312
"RefSoil_204"	"Euryarchaeota"	FALSE	1	"arsC_thio"	1	0	1	0.00108459869848156
"RefSoil_205"	"Proteobacteria"	FALSE	1	"None"	1	0	1	0.00108459869848156
"RefSoil_206"	"Proteobacteria"	TRUE	2	"acr3"	2	0	2	0.00216919739696312
"RefSoil_206"	"Proteobacteria"	TRUE	2	"aioA"	1	0	1	0.00108459869848156
"RefSoil_206"	"Proteobacteria"	TRUE	2	"arsC_glut"	2	0	2	0.00216919739696312
"RefSoil_207"	"Firmicutes"	FALSE	1	"arsB"	2	0	2	0.00216919739696312
"RefSoil_208"	"Proteobacteria"	TRUE	3	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_209"	"Proteobacteria"	TRUE	3	"None"	1	2	3	0.00325379609544469
"RefSoil_21"	"Proteobacteria"	TRUE	2	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_210"	"Proteobacteria"	TRUE	2	"arsB"	1	0	1	0.00108459869848156
"RefSoil_210"	"Proteobacteria"	TRUE	2	"arsC_glut"	2	0	2	0.00216919739696312
"RefSoil_211"	"Firmicutes"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_212"	"Proteobacteria"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_212"	"Proteobacteria"	FALSE	1	"arsC_thio"	1	0	1	0.00108459869848156
"RefSoil_212"	"Proteobacteria"	FALSE	1	"arsM"	1	0	1	0.00108459869848156
"RefSoil_213"	"Actinobacteria"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_214"	"Firmicutes"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_214"	"Firmicutes"	FALSE	1	"arsD"	1	0	1	0.00108459869848156
"RefSoil_215"	"Proteobacteria"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_215"	"Proteobacteria"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_215"	"Proteobacteria"	FALSE	1	"arsC_glut"	3	0	3	0.00325379609544469
"RefSoil_216"	"Proteobacteria"	TRUE	4	"acr3"	4	1	5	0.00542299349240781
"RefSoil_216"	"Proteobacteria"	TRUE	4	"aioA"	2	0	2	0.00216919739696312
"RefSoil_216"	"Proteobacteria"	TRUE	4	"arsC_glut"	4	1	5	0.00542299349240781
"RefSoil_216"	"Proteobacteria"	TRUE	4	"arsD"	1	0	1	0.00108459869848156
"RefSoil_217"	"Proteobacteria"	FALSE	2	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_218"	"Proteobacteria"	FALSE	1	"None"	1	0	1	0.00108459869848156
"RefSoil_219"	"Tenericutes"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_22"	"Firmicutes"	TRUE	2	"acr3"	0	2	2	0.00216919739696312
"RefSoil_22"	"Firmicutes"	TRUE	2	"arsB"	1	0	1	0.00108459869848156
"RefSoil_22"	"Firmicutes"	TRUE	2	"arsD"	0	1	1	0.00108459869848156
"RefSoil_220"	"Actinobacteria"	FALSE	1	"None"	1	0	1	0.00108459869848156
"RefSoil_221"	"Proteobacteria"	FALSE	2	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_222"	"Proteobacteria"	FALSE	1	"acr3"	2	0	2	0.00216919739696312
"RefSoil_222"	"Proteobacteria"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_222"	"Proteobacteria"	FALSE	1	"arsC_glut"	3	0	3	0.00325379609544469
"RefSoil_223"	"Proteobacteria"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_223"	"Proteobacteria"	FALSE	1	"arsB"	2	0	2	0.00216919739696312
"RefSoil_223"	"Proteobacteria"	FALSE	1	"arsC_glut"	2	0	2	0.00216919739696312
"RefSoil_224"	"Firmicutes"	TRUE	5	"acr3"	1	0	1	0.00108459869848156
"RefSoil_224"	"Firmicutes"	TRUE	5	"arsB"	1	0	1	0.00108459869848156
"RefSoil_224"	"Firmicutes"	TRUE	5	"arsC_thio"	1	0	1	0.00108459869848156
"RefSoil_225"	"Firmicutes"	FALSE	1	"None"	1	0	1	0.00108459869848156
"RefSoil_226"	"Firmicutes"	FALSE	1	"None"	1	0	1	0.00108459869848156
"RefSoil_227"	"Proteobacteria"	FALSE	1	"arsB"	2	0	2	0.00216919739696312
"RefSoil_227"	"Proteobacteria"	FALSE	1	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_228"	"Proteobacteria"	TRUE	2	"acr3"	1	0	1	0.00108459869848156
"RefSoil_228"	"Proteobacteria"	TRUE	2	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_229"	"Firmicutes"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_23"	"Cyanobacteria"	TRUE	7	"acr3"	1	0	1	0.00108459869848156
"RefSoil_230"	"Proteobacteria"	TRUE	3	"acr3"	1	0	1	0.00108459869848156
"RefSoil_230"	"Proteobacteria"	TRUE	3	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_231"	"Firmicutes"	FALSE	1	"None"	1	0	1	0.00108459869848156
"RefSoil_232"	"Proteobacteria"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_232"	"Proteobacteria"	FALSE	1	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_233"	"Proteobacteria"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_233"	"Proteobacteria"	FALSE	1	"arsC_glut"	2	0	2	0.00216919739696312
"RefSoil_234"	"Proteobacteria"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_234"	"Proteobacteria"	FALSE	1	"arsC_glut"	2	0	2	0.00216919739696312
"RefSoil_235"	"Proteobacteria"	FALSE	1	"acr3"	1	0	1	0.00108459869848156
"RefSoil_235"	"Proteobacteria"	FALSE	1	"arsB"	1	0	1	0.00108459869848156
"RefSoil_235"	"Proteobacteria"	FALSE	1	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_236"	"Proteobacteria"	TRUE	9	"arsB"	2	0	2	0.00216919739696312
"RefSoil_236"	"Proteobacteria"	TRUE	9	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_237"	"Proteobacteria"	FALSE	3	"acr3"	1	0	1	0.00108459869848156
"RefSoil_237"	"Proteobacteria"	FALSE	3	"arsB"	1	0	1	0.00108459869848156
"RefSoil_237"	"Proteobacteria"	FALSE	3	"arsC_glut"	1	0	1	0.00108459869848156
"RefSoil_238"	"Proteobacteria"	TRUE	3	"acr3"	1	0	1	0.00108459869848156
"RefSoil_238"	"Proteobacteria"	TRUE	3	"arsB"	1	0	1	0.00108459869848156
