Gene	Sample	t.name	t.length	q.name	q.length	e.value	score1	bias1	#	of	c.evalue	i.evalue	score2	bias2	from.hmm	to.hmm	from.ali	to.ali	from.env	to.env	acc	NCBI.ID	length	perc.ali
arsM	bacteria.protein.fa	DET_RS07270	280	arsM	269	9.1e-90	308.5	7	1	1	6.9e-93	1.6e-89	307.7	7	6	240	2	250	1	280	0.86	NC_002936	248	0.921933085501859
arsM	bacteria.protein.fa	DESPR_RS06190	260	arsM	269	1.1e-113	386.9	0.5	1	1	5.5e-117	1.3e-113	386.7	0.5	4	268	5	259	2	260	0.97	NC_014972	254	0.944237918215613
arsM	bacteria.protein.fa	DESMER_RS11025	263	arsM	269	2.2e-104	356.4	1.1	1	1	1.1e-107	2.4e-104	356.2	1.1	4	266	4	263	1	263	0.97	NC_018515	259	0.962825278810409
arsM	bacteria.protein.fa	DESGI_RS19715	263	arsM	269	4.4e-104	355.4	0.8	1	1	2.1e-107	4.9e-104	355.3	0.8	3	266	2	262	1	263	0.97	NC_021184	260	0.966542750929368
arsM	bacteria.protein.fa	DESCA_RS05330	271	arsM	269	3.3e-110	375.5	0.5	1	1	1.6e-113	3.7e-110	375.3	0.5	5	268	2	269	1	270	0.96	NC_015565	267	0.992565055762082
arsM	bacteria.protein.fa	DESAL_RS04280	1034	arsM	269	4.6e-58	204.5	0.1	1	1	4.2e-61	9.8e-58	203.4	0.1	18	235	442	669	437	705	0.84	NC_012881	227	0.843866171003718
arsM	bacteria.protein.fa	DESAF_RS10865	278	arsM	269	1.1e-77	268.9	0.4	1	1	5.3e-81	1.2e-77	268.7	0.4	5	239	3	234	1	271	0.92	NC_016629	231	0.858736059479554
arsM	bacteria.protein.fa	DEHLY_RS07110	274	arsM	269	2.2e-100	343.3	1	1	1	1.1e-103	2.5e-100	343.1	1	5	268	3	273	1	274	0.95	NC_014314	270	1.00371747211896
arsM	bacteria.protein.fa	DEHALGT_RS05765	278	arsM	269	7e-93	318.7	0.7	1	1	4e-96	9.1e-93	318.3	0.7	6	267	2	277	1	278	0.93	NC_013890	275	1.02230483271375
arsM	bacteria.protein.fa	DEHABAV1_RS06400	277	arsM	269	9.5e-93	318.2	0.7	1	1	5.4e-96	1.2e-92	317.9	0.7	6	267	2	276	1	277	0.93	NC_009455	274	1.0185873605948
arsM	bacteria.protein.fa	DCMB_RS06325	277	arsM	269	9.5e-93	318.2	0.7	1	1	5.4e-96	1.2e-92	317.9	0.7	6	267	2	276	1	277	0.93	NC_020386	274	1.0185873605948
arsM	bacteria.protein.fa	DACSA_RS08670	322	arsM	269	3.6e-30	113	0	1	1	2.1e-33	4.9e-30	112.6	0	67	248	43	234	23	252	0.86	NC_019780	191	0.71003717472119
arsM	bacteria.protein.fa	CPIN_RS30230	279	arsM	269	2.7e-76	264.3	0.3	1	1	1.3e-79	3.1e-76	264.1	0.3	4	269	3	270	1	270	0.91	NC_013132	267	0.992565055762082
arsM	bacteria.protein.fa	CLOPA_RS02945	272	arsM	269	6.4e-86	295.9	3.6	1	1	3.3e-89	7.6e-86	295.6	3.6	6	255	3	249	1	261	0.95	NC_021182	246	0.91449814126394
arsM	bacteria.protein.fa	CHU_RS07375	280	arsM	269	1.5e-73	255.3	0.9	1	1	7.5e-77	1.7e-73	255.1	0.9	2	267	2	267	1	269	0.86	NC_008255	265	0.985130111524164
arsM	bacteria.protein.fa	CHRO_RS13990	267	arsM	269	1.6e-91	314.2	4.7	1	1	8.3e-95	1.9e-91	314	4.7	4	260	2	247	1	264	0.92	NC_019695	245	0.910780669144981
arsM	bacteria.protein.fa	CFLA_RS17010	256	arsM	269	2.1e-89	307.3	2.7	1	1	1.1e-92	2.5e-89	307	2.7	6	240	3	239	1	254	0.96	NC_014151	236	0.877323420074349
arsM	bacteria.protein.fa	CCALI_RS00530	267	arsM	269	2.8e-11	51.1	0	1	1	1.6e-14	3.8e-11	50.7	0	79	257	36	227	27	235	0.78	NC_021487	191	0.71003717472119
arsM	bacteria.protein.fa	CBDB_RS05750	278	arsM	269	7e-93	318.7	0.7	1	1	4e-96	9.1e-93	318.3	0.7	6	267	2	277	1	278	0.93	NC_007356	275	1.02230483271375
arsM	bacteria.protein.fa	BTF_RS06375	277	arsM	269	9.5e-93	318.2	0.7	1	1	5.4e-96	1.2e-92	317.9	0.7	6	267	2	276	1	277	0.93	NC_020387	274	1.0185873605948
arsM	bacteria.protein.fa	BRDCF_RS09135	262	arsM	269	5.8e-75	259.9	0.3	1	1	2.9e-78	6.8e-75	259.7	0.3	5	259	3	251	1	259	0.88	NZ_CP006772	248	0.921933085501859
arsM	bacteria.protein.fa	BPRO_RS13135	282	arsM	269	6.1e-62	217.2	0.4	1	1	3.2e-65	7.3e-62	217	0.4	47	257	62	272	28	282	0.91	NC_007948	210	0.780669144981413
arsM	bacteria.protein.fa	BN159_RS21115	265	arsM	269	3.9e-61	214.6	0	1	1	2e-64	4.6e-61	214.4	0	49	267	42	259	10	261	0.91	NC_020504	217	0.806691449814126
arsM	bacteria.protein.fa	BN159_RS21100	270	arsM	269	3.5e-63	221.3	0.1	1	1	3.4e-66	7.9e-63	220.1	0.1	46	237	26	219	20	225	0.96	NC_020504	193	0.717472118959108
arsM	bacteria.protein.fa	BLASA_RS15120	259	arsM	269	3.6e-59	208.1	0	1	1	1.8e-62	4.1e-59	208	0	47	266	38	256	8	259	0.94	NC_016943	218	0.810408921933085
arsM	bacteria.protein.fa	B1NLA3E_RS09205	263	arsM	269	1.8e-106	363.3	0.6	1	1	8.5e-110	2e-106	363.1	0.6	3	266	2	262	1	263	0.96	NC_021171	260	0.966542750929368
arsM	bacteria.protein.fa	ASPHE3_RS14990	260	arsM	269	3.2e-57	201.8	0	1	1	1.5e-60	3.6e-57	201.6	0	47	251	40	243	7	260	0.89	NC_015145	203	0.754646840148699
arsM	bacteria.protein.fa	AMES_RS03890	241	arsM	269	2.6e-74	257.8	0.3	1	1	1.4e-77	3.3e-74	257.5	0.3	10	244	4	230	2	239	0.89	NC_018266	226	0.840148698884758
arsM	bacteria.protein.fa	ACID345_RS15260	273	arsM	269	3.8e-77	267.1	0.5	1	1	1.6e-80	3.8e-77	267.1	0.5	20	238	6	220	1	231	0.91	NC_008009	214	0.795539033457249
arsM	bacteria.protein.fa	ACID_RS22500	281	arsM	269	6.6e-114	387.6	0.9	1	1	3.3e-117	7.7e-114	387.4	0.9	5	269	3	272	1	272	0.97	NC_008536	269	1
arsM	archaea.protein.fa	MTC_RS11620	270	arsM	269	1.9e-82	279	0.8	1	1	3.3e-85	2.8e-82	278.5	0.6	7	239	9	225	3	241	0.92	NC_017034	216	0.802973977695167
arsM	archaea.protein.fa	MPSY_RS09530	247	arsM	269	9.1e-81	273.5	1.2	1	1	1.3e-83	1.1e-80	273.3	1.2	4	235	2	222	1	239	0.91	NC_018876	220	0.817843866171004
arsM	archaea.protein.fa	MPET_RS14200	275	arsM	269	1.1e-98	332.3	1	1	1	1.4e-101	1.2e-98	332.1	1	5	266	3	274	1	275	0.93	NC_014507	271	1.00743494423792
arsM	archaea.protein.fa	MMAH_RS06455	264	arsM	269	8.6e-83	280.2	3.3	1	1	1.3e-85	1.1e-82	279.8	3.3	3	239	13	239	11	256	0.92	NC_014002	226	0.840148698884758
arsM	archaea.protein.fa	MM_RS11620	248	arsM	269	9.9e-94	316	0.7	1	1	1.3e-96	1.1e-93	315.8	0.7	4	233	2	221	1	241	0.94	NC_003901	219	0.814126394052045
arsM	archaea.protein.fa	MM_RS03445	249	arsM	269	8e-92	309.8	1.5	1	1	1.1e-94	9.4e-92	309.6	1.5	4	232	2	221	1	238	0.94	NC_003901	219	0.814126394052045
arsM	archaea.protein.fa	METBO_RS09180	252	arsM	269	9.8e-88	296.4	0.8	1	1	1.3e-90	1.1e-87	296.2	0.8	4	266	2	252	1	252	0.94	NC_015216	250	0.929368029739777
arsM	archaea.protein.fa	MBAR_RS09100	248	arsM	269	6.9e-90	303.4	1.5	1	1	9.3e-93	8e-90	303.2	1.5	4	230	2	219	1	241	0.94	NC_007355	217	0.806691449814126
arsM	archaea.protein.fa	MA_RS19700	249	arsM	269	1.6e-94	318.7	0.9	1	1	2.1e-97	1.8e-94	318.5	0.9	4	231	2	221	1	241	0.93	NC_003552	219	0.814126394052045
arsM	archaea.protein.fa	HTUR_RS15045	295	arsM	269	5.4e-93	313.6	11.3	1	1	1.3e-93	1.1e-90	306	11.3	4	239	14	277	11	295	0.89	NC_013743	263	0.977695167286245
arsM	archaea.protein.fa	HTUR_RS05080	258	arsM	269	2.4e-64	219.7	0.1	1	1	3.1e-67	2.6e-64	219.5	0.1	48	266	37	255	8	258	0.91	NC_013743	218	0.810408921933085
arsD	plasmid.protein.fa	WP_020971544.1_56	135	arsD	123	2e-43	151	0	1	1	1.5e-47	2.4e-43	150.7	0	1	123	1	135	1	135	0.91	NC_022125.1	134	1.08943089430894
arsD	plasmid.protein.fa	WP_015451704.1_43	120	arsD	123	4.3e-51	175.7	0.1	1	1	3e-55	4.8e-51	175.6	0.1	1	123	1	120	1	120	0.94	NC_020548.1	119	0.967479674796748
arsD	plasmid.protein.fa	WP_012807510.1_110	109	arsD	123	1.2e-27	100	0	1	1	8.3e-32	1.3e-27	99.9	0	1	104	1	106	1	109	0.94	NC_013201.1	105	0.853658536585366
arsD	plasmid.protein.fa	WP_011222021.1_20	120	arsD	123	1.2e-37	132.3	0.1	1	1	8.2e-42	1.3e-37	132.2	0.1	1	123	1	120	1	120	0.94	NC_008499.1	119	0.967479674796748
arsD	plasmid.protein.fa	WP_004152100.1_71	120	arsD	123	2.4e-48	166.9	0	1	1	1.7e-52	2.6e-48	166.7	0	1	123	1	120	1	120	0.94	NC_009649.1	119	0.967479674796748
arsD	plasmid.protein.fa	WP_004152095.1_77	120	arsD	123	1.4e-33	119.2	0	1	1	1e-37	1.6e-33	119	0	1	117	1	115	1	119	0.95	NC_009649.1	114	0.926829268292683
arsD	plasmid.protein.fa	WP_002333380.1_33	123	arsD	123	6.6e-43	149.3	0.3	1	1	4.6e-47	7.3e-43	149.1	0.3	1	123	1	123	1	123	0.94	NC_003383.1	122	0.991869918699187
arsD	plasmid.protein.fa	WP_000783215.1_42	120	arsD	123	2.7e-49	169.9	0.1	1	1	1.9e-53	3e-49	169.8	0.1	1	123	1	120	1	120	0.94	NC_013356.1	119	0.967479674796748
arsD	plasmid.protein.fa	WP_000783215.1_178	120	arsD	123	2.7e-49	169.9	0.1	1	1	1.9e-53	3e-49	169.8	0.1	1	123	1	120	1	120	0.94	NZ_CP008842.1	119	0.967479674796748
arsD	plasmid.protein.fa	WP_000717835.1_279	119	arsD	123	2.6e-40	140.9	0.1	1	1	1.9e-44	3e-40	140.7	0.1	1	105	1	105	1	117	0.94	NC_011777.1	104	0.845528455284553
arsD	plasmid.protein.fa	WP_000717835.1_199	119	arsD	123	2.6e-40	140.9	0.1	1	1	1.9e-44	3e-40	140.7	0.1	1	105	1	105	1	117	0.94	NC_014172.1	104	0.845528455284553
arsD	plasmid.protein.fa	WP_000717835.1_146	119	arsD	123	2.6e-40	140.9	0.1	1	1	1.9e-44	3e-40	140.7	0.1	1	105	1	105	1	117	0.94	NC_005707.1	104	0.845528455284553
arsD	bacteria.protein.fa	Z042_RS01395	119	arsD	123	1.2e-33	123.6	0	1	1	2.9e-38	1.4e-33	123.3	0	1	117	1	114	1	117	0.93	NZ_CP007044	113	0.91869918699187
arsD	bacteria.protein.fa	W5S_RS16835	121	arsD	123	8.1e-49	172.5	0	1	1	1.9e-53	9e-49	172.4	0	1	123	1	121	1	121	0.97	NC_017845	120	0.975609756097561
arsD	bacteria.protein.fa	UFO1_RS04270	122	arsD	123	8.8e-43	153	0.6	1	1	2e-47	9.7e-43	152.9	0.6	1	123	1	122	1	122	0.94	NZ_CP008852	121	0.983739837398374
arsD	bacteria.protein.fa	TMZ1T_RS13015	112	arsD	123	1e-23	91.5	0.8	1	1	6.9e-28	3.3e-23	89.8	0.8	1	118	1	108	1	112	0.9	NC_011662	107	0.869918699186992
arsD	bacteria.protein.fa	THI_RS14475	120	arsD	123	5.3e-48	169.9	0	1	1	1.2e-52	5.8e-48	169.8	0	1	122	1	119	1	120	0.94	NC_014145	118	0.959349593495935
arsD	bacteria.protein.fa	SPUTCN32_RS19880	120	arsD	123	1.6e-50	178	0.3	1	1	3.7e-55	1.8e-50	177.9	0.3	1	123	1	120	1	120	0.97	NC_009438	119	0.967479674796748
arsD	bacteria.protein.fa	SNSL254_RS11450	120	arsD	123	2.2e-46	164.7	0	1	1	5.1e-51	2.4e-46	164.5	0	1	123	1	120	1	120	0.92	NC_011080	119	0.967479674796748
arsD	bacteria.protein.fa	SN31241_RS15435	120	arsD	123	2.2e-46	164.7	0	1	1	5.1e-51	2.4e-46	164.5	0	1	123	1	120	1	120	0.92	NC_021902	119	0.967479674796748
arsD	bacteria.protein.fa	SH_RS00505	115	arsD	123	1.8e-34	126.2	1.4	1	1	4.2e-39	2e-34	126	1.4	1	123	1	115	1	115	0.94	NC_007168	114	0.926829268292683
arsD	bacteria.protein.fa	SEAG_RS10285	120	arsD	123	2.2e-46	164.7	0	1	1	5.1e-51	2.5e-46	164.5	0	1	123	1	120	1	120	0.92	NC_011149	119	0.967479674796748
arsD	bacteria.protein.fa	SCV20265_RS10475	119	arsD	123	3.5e-49	173.7	0.1	1	1	8e-54	3.9e-49	173.6	0.1	1	123	1	119	1	119	0.94	NC_023149	118	0.959349593495935
arsD	bacteria.protein.fa	SCE1572_RS04710	129	arsD	123	1.7e-41	148.9	0.1	1	1	3.9e-46	1.9e-41	148.8	0.1	4	119	5	119	1	129	0.88	NC_021658	114	0.926829268292683
arsD	bacteria.protein.fa	RPIC12D_RS03245	119	arsD	123	1.2e-48	172	0.1	1	1	2.6e-53	1.3e-48	171.9	0.1	1	123	1	119	1	119	0.93	NC_012856	118	0.959349593495935
arsD	bacteria.protein.fa	ROP_RS00100	139	arsD	123	1.2e-41	149.4	0	1	1	2.7e-46	1.3e-41	149.2	0	1	123	1	139	1	139	0.9	NC_012522	138	1.1219512195122
arsD	bacteria.protein.fa	PST_RS01230	119	arsD	123	1.5e-49	174.9	0.2	1	1	3.5e-54	1.7e-49	174.7	0.2	1	123	1	119	1	119	0.93	NC_009434	118	0.959349593495935
arsD	bacteria.protein.fa	PSAB_RS12490	120	arsD	123	1.5e-40	145.8	0	1	1	3.6e-45	1.7e-40	145.6	0	1	102	1	103	1	118	0.94	NZ_CP004078	102	0.829268292682927
arsD	bacteria.protein.fa	OSCIL6304_RS09550	133	arsD	123	1.3e-45	162.2	0	1	1	3.2e-50	1.5e-45	161.9	0	1	119	1	119	1	127	0.93	NC_019693	118	0.959349593495935
arsD	bacteria.protein.fa	NH8B_RS10260	120	arsD	123	2.6e-49	174.1	0	1	1	6e-54	2.9e-49	174	0	1	123	1	120	1	120	0.95	NC_016002	119	0.967479674796748
arsD	bacteria.protein.fa	NAL212_RS01110	116	arsD	123	3.2e-46	164.1	0.1	1	1	7.4e-51	3.6e-46	164	0.1	1	123	1	116	1	116	0.94	NC_015222	115	0.934959349593496
arsD	bacteria.protein.fa	N505_RS21270	128	arsD	123	3.4e-43	154.4	0	1	1	7.8e-48	3.8e-43	154.2	0	1	123	1	128	1	128	0.91	NZ_CM002177	127	1.03252032520325
arsD	bacteria.protein.fa	MYA_RS21820	281	arsD	123	1.4e-48	171.7	0.2	1	1	4.5e-53	2.2e-48	171.2	0.2	1	123	160	281	160	281	0.96	NC_017921	121	0.983739837398374
arsD	bacteria.protein.fa	MU9_RS16160	121	arsD	123	8.1e-48	169.3	0	1	1	1.9e-52	9e-48	169.2	0	1	123	1	121	1	121	0.96	NC_020418	120	0.975609756097561
arsD	bacteria.protein.fa	MFLA_RS07650	122	arsD	123	6.7e-50	176	0	1	1	1.5e-54	7.4e-50	175.9	0	1	123	1	122	1	122	0.98	NC_007947	121	0.983739837398374
arsD	bacteria.protein.fa	LMOSLCC2479_RS14060	122	arsD	123	1.1e-36	133.3	0.1	1	1	2.6e-41	1.3e-36	133.2	0.1	1	123	2	122	2	122	0.93	NC_018589	120	0.975609756097561
arsD	bacteria.protein.fa	LMOSLCC2378_RS11440	123	arsD	123	1e-41	149.6	0.2	1	1	2.3e-46	1.1e-41	149.5	0.2	1	123	1	123	1	123	0.94	NC_018585	122	0.991869918699187
