"db" "query" "genus" "class" "phylum" "Organism"
"ncbi" "Sphingobium chinhatense IP26" "Sphingobium" "Alphaproteobacteria" "Proteobacteria" "Sphingobium chinhatense IP26"
"ncbi" "Caulobacter henricii" "Caulobacter" "Alphaproteobacteria" "Proteobacteria" "Caulobacter henricii"
"ncbi" "endosymbiont of unidentified scaly snail isolate Monju" NA "Gammaproteobacteria" "Proteobacteria" "endosymbiont of unidentified scaly snail isolate Monju"
"ncbi" "Streptomyces purpurogeneiscleroticus" "Streptomyces" "Actinobacteria" "Actinobacteria" "Streptomyces purpurogeneiscleroticus"
"ncbi" "Methylomonas sp. DH-1" "Methylomonas" "Gammaproteobacteria" "Proteobacteria" "Methylomonas sp. DH-1"
"ncbi" "Bradyrhizobium neotropicale" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium neotropicale"
"ncbi" "Afipia sp. 62-7" "Afipia" "Alphaproteobacteria" "Proteobacteria" "Afipia sp. 62-7"
"ncbi" "Caulobacter sp. K31" "Caulobacter" "Alphaproteobacteria" "Proteobacteria" "Caulobacter sp. K31"
"ncbi" "Acetobacter indonesiensis 5H-1" "Acetobacter" "Alphaproteobacteria" "Proteobacteria" "Acetobacter indonesiensis 5H-1"
"ncbi" "Bacillus cereus F837/76" "Bacillus" "Bacilli" "Firmicutes" "Bacillus cereus F837/76"
"ncbi" "Geodermatophilus sp. DSM 44208" "Geodermatophilus" "Actinobacteria" "Actinobacteria" "Geodermatophilus sp. DSM 44208"
"ncbi" "Microlunatus phosphovorus NM-1" "Microlunatus" "Actinobacteria" "Actinobacteria" "Microlunatus phosphovorus NM-1"
"ncbi" "Friedmanniella flava" "Friedmanniella" "Actinobacteria" "Actinobacteria" "Friedmanniella flava"
"ncbi" "Acidobacteriales bacterium 13_2_20CM_2_55_5" NA "Acidobacteriia" "Acidobacteria" "Acidobacteriales bacterium 13_2_20CM_2_55_5"
"ncbi" "Acidobacteria bacterium 13_1_40CM_4_58_4" NA NA "Acidobacteria" "Acidobacteria bacterium 13_1_40CM_4_58_4"
"ncbi" "candidate division Zixibacteria bacterium SM1_73" NA NA "candidate division Zixibacteria" "candidate division Zixibacteria bacterium SM1_73"
"ncbi" "Pseudomonas aeruginosa" "Pseudomonas" "Gammaproteobacteria" "Proteobacteria" "Pseudomonas aeruginosa"
"ncbi" "Methylocystis sp. SC2" "Methylocystis" "Alphaproteobacteria" "Proteobacteria" "Methylocystis sp. SC2"
"ncbi" "Afipia sp. P52-10" "Afipia" "Alphaproteobacteria" "Proteobacteria" "Afipia sp. P52-10"
"ncbi" "Bosea sp. Root381" "Bosea" "Alphaproteobacteria" "Proteobacteria" "Bosea sp. Root381"
"ncbi" "Alicycliphilus sp. 69-12" "Alicycliphilus" "Betaproteobacteria" "Proteobacteria" "Alicycliphilus sp. 69-12"
"ncbi" "Mesorhizobium sp. ORS3428" "Mesorhizobium" "Alphaproteobacteria" "Proteobacteria" "Mesorhizobium sp. ORS3428"
"ncbi" "Novosphingobium sp. AAP93" "Novosphingobium" "Alphaproteobacteria" "Proteobacteria" "Novosphingobium sp. AAP93"
"ncbi" "Afipia sp. 1NLS2" "Afipia" "Alphaproteobacteria" "Proteobacteria" "Afipia sp. 1NLS2"
"ncbi" "Burkholderia ubonensis" "Burkholderia" "Betaproteobacteria" "Proteobacteria" "Burkholderia ubonensis"
"ncbi" "Burkholderia sp. BDU18" "Burkholderia" "Betaproteobacteria" "Proteobacteria" "Burkholderia sp. BDU18"
"ncbi" "Mycobacterium sp. 1164966.3" "Mycobacterium" "Actinobacteria" "Actinobacteria" "Mycobacterium sp. 1164966.3"
"ncbi" "Sinorhizobium meliloti BL225C" "Sinorhizobium" "Alphaproteobacteria" "Proteobacteria" "Sinorhizobium meliloti BL225C"
"ncbi" "Cycloclasticus sp. Phe_18" "Cycloclasticus" "Gammaproteobacteria" "Proteobacteria" "Cycloclasticus sp. Phe_18"
"ncbi" "Tardiphaga sp. Vaf07" "Tardiphaga" "Alphaproteobacteria" "Proteobacteria" "Tardiphaga sp. Vaf07"
"ncbi" "Bradyrhizobium sp. LMTR 3" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium sp. LMTR 3"
"ncbi" "Mycobacterium gordonae" "Mycobacterium" "Actinobacteria" "Actinobacteria" "Mycobacterium gordonae"
"ncbi" "Bradyrhizobium sp. STM 3843" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium sp. STM 3843"
"ncbi" "Acidiphilium cryptum JF-5" "Acidiphilium" "Alphaproteobacteria" "Proteobacteria" "Acidiphilium cryptum JF-5"
"ncbi" "Ochrobactrum anthropi ATCC 49188" "Ochrobactrum" "Alphaproteobacteria" "Proteobacteria" "Ochrobactrum anthropi ATCC 49188"
"ncbi" "Acidocella sp. MX-AZ02" "Acidocella" "Alphaproteobacteria" "Proteobacteria" "Acidocella sp. MX-AZ02"
"ncbi" "Variovorax sp. WDL1" "Variovorax" "Betaproteobacteria" "Proteobacteria" "Variovorax sp. WDL1"
"ncbi" "Alicyclobacillus tengchongensis" "Alicyclobacillus" "Bacilli" "Firmicutes" "Alicyclobacillus tengchongensis"
"ncbi" "Bacillus vireti LMG 21834" "Bacillus" "Bacilli" "Firmicutes" "Bacillus vireti LMG 21834"
"ncbi" "Deltaproteobacteria bacterium RIFCSPLOWO2_12_FULL_60_19" NA "Deltaproteobacteria" "Proteobacteria" "Deltaproteobacteria bacterium RIFCSPLOWO2_12_FULL_60_19"
"ncbi" "Candidatus Fischerbacteria bacterium RBG_13_37_8" NA NA "Candidatus Fischerbacteria" "Candidatus Fischerbacteria bacterium RBG_13_37_8"
"ncbi" "Pseudomonas reinekei" "Pseudomonas" "Gammaproteobacteria" "Proteobacteria" "Pseudomonas reinekei"
"ncbi" "Burkholderia cepacia" "Burkholderia" "Betaproteobacteria" "Proteobacteria" "Burkholderia cepacia"
"ncbi" "Hydrogenophaga sp. LPB0072" "Hydrogenophaga" "Betaproteobacteria" "Proteobacteria" "Hydrogenophaga sp. LPB0072"
"ncbi" "Burkholderia sp. OLGA172" "Burkholderia" "Betaproteobacteria" "Proteobacteria" "Burkholderia sp. OLGA172"
"ncbi" "Microbulbifer donghaiensis" "Microbulbifer" "Gammaproteobacteria" "Proteobacteria" "Microbulbifer donghaiensis"
"ncbi" "Azorhizobium caulinodans ORS 571" "Azorhizobium" "Alphaproteobacteria" "Proteobacteria" "Azorhizobium caulinodans ORS 571"
"ncbi" "Acetobacter aceti 1023" "Acetobacter" "Alphaproteobacteria" "Proteobacteria" "Acetobacter aceti 1023"
"ncbi" "Aminobacter sp. Root100" "Aminobacter" "Alphaproteobacteria" "Proteobacteria" "Aminobacter sp. Root100"
"ncbi" "Acidovorax sp. GW2" "Acidovorax" "Betaproteobacteria" "Proteobacteria" "Acidovorax sp. GW2"
"ncbi" "Sulfurovum sp. NBC37-1" "Sulfurovum" "Epsilonproteobacteria" "Proteobacteria" "Sulfurovum sp. NBC37-1"
"ncbi" "Bradyrhizobium icense" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium icense"
"ncbi" "Gluconacetobacter sp. SXCC-1" "Gluconacetobacter" "Alphaproteobacteria" "Proteobacteria" "Gluconacetobacter sp. SXCC-1"
"ncbi" "Bordetella bronchiseptica MO149" "Bordetella" "Betaproteobacteria" "Proteobacteria" "Bordetella bronchiseptica MO149"
"ncbi" "Herbaspirillum hiltneri N3" "Herbaspirillum" "Betaproteobacteria" "Proteobacteria" "Herbaspirillum hiltneri N3"
"ncbi" "Devosia sp. YR412" "Devosia" "Alphaproteobacteria" "Proteobacteria" "Devosia sp. YR412"
"ncbi" "Mycobacterium sp. JS623" "Mycobacterium" "Actinobacteria" "Actinobacteria" "Mycobacterium sp. JS623"
"ncbi" "Rhizobacter sp. Root404" "Rhizobacter" "Betaproteobacteria" "Proteobacteria" "Rhizobacter sp. Root404"
"ncbi" "Novosphingobium sp. SCN 66-18" "Novosphingobium" "Alphaproteobacteria" "Proteobacteria" "Novosphingobium sp. SCN 66-18"
"ncbi" "Pontibaca methylaminivorans" "Pontibaca" "Alphaproteobacteria" "Proteobacteria" "Pontibaca methylaminivorans"
"ncbi" "Lactobacillus paraplantarum" "Lactobacillus" "Bacilli" "Firmicutes" "Lactobacillus paraplantarum"
"ncbi" "Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446" "Alicyclobacillus" "Bacilli" "Firmicutes" "Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446"
"ncbi" "Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305" "Staphylococcus" "Bacilli" "Firmicutes" "Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305"
"ncbi" "Staphylococcus aureus" "Staphylococcus" "Bacilli" "Firmicutes" "Staphylococcus aureus"
"ncbi" "Enterococcus faecium DO" "Enterococcus" "Bacilli" "Firmicutes" "Enterococcus faecium DO"
"ncbi" "Sorangium cellulosum So0157-2" "Sorangium" "Deltaproteobacteria" "Proteobacteria" "Sorangium cellulosum So0157-2"
"ncbi" "Thiomonas arsenitoxydans" "Thiomonas" "Betaproteobacteria" "Proteobacteria" "Thiomonas arsenitoxydans"
"ncbi" "Labilithrix luteola" "Labilithrix" "Deltaproteobacteria" "Proteobacteria" "Labilithrix luteola"
"ncbi" "Nitrospirae bacterium RIFCSPLOWO2_02_FULL_62_14" NA NA "Nitrospirae" "Nitrospirae bacterium RIFCSPLOWO2_02_FULL_62_14"
"ncbi" "Methanobacterium lacus" "Methanobacterium" "Methanobacteria" "Euryarchaeota" "Methanobacterium lacus"
"ncbi" "Spirochaetes bacterium RBG_16_49_21" NA NA "Spirochaetes" "Spirochaetes bacterium RBG_16_49_21"
"ncbi" "Deltaproteobacteria bacterium RBG_16_64_85" NA "Deltaproteobacteria" "Proteobacteria" "Deltaproteobacteria bacterium RBG_16_64_85"
"ncbi" "Planctomycetes bacterium RBG_13_63_9" NA NA "Planctomycetes" "Planctomycetes bacterium RBG_13_63_9"
"ncbi" "Nitrobacter hamburgensis X14" "Nitrobacter" "Alphaproteobacteria" "Proteobacteria" "Nitrobacter hamburgensis X14"
"ncbi" "Mesorhizobium sp. 61-13" "Mesorhizobium" "Alphaproteobacteria" "Proteobacteria" "Mesorhizobium sp. 61-13"
"ncbi" "Ensifer glycinis" "Ensifer" "Alphaproteobacteria" "Proteobacteria" "Ensifer glycinis"
