LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
ACR3_CORGL, Corynebacterium glutamicum (Q8NQC8)
OGO64557.1, Chloroflexi_bacterium_RBG_19FT_COMBO_47_9 (OGO64557.1)
OGO65915.1, Chloroflexi_bacterium_RBG_19FT_COMBO_47_9 (OGO65915.1)
OGP55596.1, Deltaproteobacteria_bacterium_RBG_13_61_14 (OGP55596.1)
OGP61939.1, Deltaproteobacteria_bacterium_RBG_13_49_15 (OGP61939.1)
OGP66977.1, Deltaproteobacteria_bacterium_RBG_16_44_11 (OGP66977.1)
OGP96365.1, Deltaproteobacteria_bacterium_RBG_16_47_11 (OGP96365.1)
OGQ05289.1, Deltaproteobacteria_bacterium_RIFCSPHIGHO2_01_FULL_43_49 (OGQ05289.1)
OGQ54447.1, Deltaproteobacteria_bacterium_RIFCSPLOWO2_02_56_12 (OGQ54447.1)
OGQ78425.1, Deltaproteobacteria_bacterium_RIFCSPLOWO2_12_FULL_60_19 (OGQ78425.1)
OGQ81025.1, Deltaproteobacteria_bacterium_RIFOXYA12_FULL_58_15 (OGQ81025.1)
OGR78282.1, Elusimicrobia_bacterium_RIFCSPHIGHO2_02_FULL_39_36 (OGR78282.1)
OGS42452.1, Euryarchaeota_archaeon_RBG_16_62_10 (OGS42452.1)
OGU32410.1, Ignavibacteria_bacterium_GWA2_55_11 (OGU32410.1)
OGU37188.1, Ignavibacteria_bacterium_GWA2_36_19 (OGU37188.1)
OGU68653.1, Ignavibacteria_bacterium_GWC2_38_9 (OGU68653.1)
OGU71357.1, Ignavibacteria_bacterium_RBG_16_34_14 (OGU71357.1)
OGV64896.1, Lentisphaerae_bacterium_RIFOXYA12_FULL_48_11 (OGV64896.1)
OGW27484.1, Nitrospirae_bacterium_GWC2_57_13 (OGW27484.1)
OGW41443.1, Nitrospirae_bacterium_GWD2_57_9 (OGW41443.1)
OGW52113.1, Nitrospirae_bacterium_RBG_19FT_COMBO_58_9 (OGW52113.1)
OGX12645.1, Omnitrophica_bacterium_RIFOXYB12_FULL_50_7 (OGX12645.1)
OGX16184.1, Omnitrophica_WOR_2_bacterium_GWF2_63_9 (OGX16184.1)
OHB43283.1, Planctomycetes_bacterium_GWC2_45_44 (OHB43283.1)
OHB54828.1, Planctomycetes_bacterium_GWF2_50_10 (OHB54828.1)
OHB59326.1, Planctomycetes_bacterium_RBG_13_46_10 (OHB59326.1)
OHB72509.1, Planctomycetes_bacterium_RBG_13_63_9 (OHB72509.1)
OHB83190.1, Planctomycetes_bacterium_RIFCSPHIGHO2_02_FULL_38_41 (OHB83190.1)
OHD74172.1, Spirochaetes_bacterium_RBG_13_68_11 (OHD74172.1)
OIO15656.1, Ignavibacteria_bacterium_CG1_02_37_35 (OIO15656.1)
OIO55470.1, Candidatus_Peregrinibacteria_bacterium_CG1_02_54_53 (OIO55470.1)
OIO87904.1, Actinobacteria_bacterium_CG2_30_50_142 (OIO87904.1)
OIO88134.1, Anaerolineae_bacterium_CG2_30_64_16 (OIO88134.1)
OIP27972.1, Dehalococcoidia_bacterium_CG2_30_46_9 (OIP27972.1)
OJU58187.1, Alphaproteobacteria_bacterium_62-8 (OJU58187.1)
OJU79861.1, Solirubrobacterales_bacterium_70-9 (OJU79861.1)
OJU80611.1, Solirubrobacterales_bacterium_70-9 (OJU80611.1)
OJV22485.1, Verrucomicrobia_bacterium_61-8 (OJV22485.1)
OJV28050.1, Actinobacteria_bacterium_69-20 (OJV28050.1)
OJV40348.1, Acidobacteriales_bacterium_59-55 (OJV40348.1)
OJV43459.1, Acidobacteriales_bacterium_59-55 (OJV43459.1)
OJV44674.1, Acidobacteriales_bacterium_59-55 (OJV44674.1)
OJW25477.1, Planctomycetales_bacterium_71-10 (OJW25477.1)
OJW27837.1, Rhodospirillales_bacterium_69-11 (OJW27837.1)
OJW77742.1, Bacteroidetes_bacterium_46-16 (OJW77742.1)
OJW84402.1, Bacteroidetes_bacterium_46-16 (OJW84402.1)
OLC42053.1, Nitrospirae_bacterium_13_1_40CM_4_62_6 (OLC42053.1)
OLD92836.1, Alphaproteobacteria_bacterium_13_1_20CM_4_65_11 (OLD92836.1)
OPX23249.1, Planctomycetales_bacterium_4484_113 (OPX23249.1)
OPX38231.1, Desulfobacteraceae_bacterium_4484_190.2 (OPX38231.1)
OQX02378.1, Thiothrix_lacustris (OQX02378.1)
OQX09988.1, Desulfobacteraceae_bacterium_IS3 (OQX09988.1)
OQX69551.1, Sorangiineae_bacterium_NIC37A_2 (OQX69551.1)
OQX87190.1, candidate_division_KSB1_bacterium_4484_87 (OQX87190.1)
OQY33228.1, Anaerolineaceae_bacterium_4572_5.1 (OQY33228.1)
OUC05983.1, Litorilinea_aerophila (OUC05983.1)
OYV17762.1, Methylococcaceae_bacterium_NSP1-1 (OYV17762.1)
OYV60449.1, Actinobacteria_bacterium_21-73-9 (OYV60449.1)
OYV65793.1, Actinobacteria_bacterium_21-64-8 (OYV65793.1)
OYW05512.1, Acidobacteria_bacterium_37-71-11 (OYW05512.1)
OYX67802.1, Rhizobiales_bacterium_32-66-11 (OYX67802.1)
SDD32017.1, Belnapia_rosea (SDD32017.1)
SEG75836.1, Actinomadura_echinospora (SEG75836.1)
WP_004644740.1, Acinetobacter (WP_004644740.1)
WP_005036525.1, Holophaga_foetida (WP_005036525.1)
WP_007569545.1, Patulibacter_medicamentivorans (WP_007569545.1)
WP_010035994.1, Gemmata_obscuriglobus (WP_010035994.1)
WP_010036986.1, Gemmata_obscuriglobus (WP_010036986.1)
WP_010271681.1, Paenibacillus_senegalensis (WP_010271681.1)
WP_011523760.1, Candidatus_Koribacter_versatilis (WP_011523760.1)
WP_011579670.1, Chelativorans_sp._BNC1 (WP_011579670.1)
WP_012376476.1, Opitutus_terrae (WP_012376476.1)
WP_012466922.1, Chlorobium_limicola (WP_012466922.1)
WP_013075966.1, Kyrpidia_tusciae (WP_013075966.1)
WP_013501559.1, Rhodopseudomonas_palustris (WP_013501559.1)
WP_013559282.1, Anaerolinea_thermophila (WP_013559282.1)
WP_013569199.1, Terriglobus_saanensis (WP_013569199.1)
WP_014143253.1, Streptomyces_cattleya (WP_014143253.1)
WP_014435320.1, Caldilinea_aerophila (WP_014435320.1)
WP_014783970.1, Terriglobus_roseus (WP_014783970.1)
WP_015441361.1, Ilumatobacter_coccineus (WP_015441361.1)
WP_015898472.1, Acidobacterium_capsulatum (WP_015898472.1)
WP_016483592.1, Chthonomonas_calidirosea (WP_016483592.1)
WP_020719085.1, Acidobacteriaceae_bacterium_KBS_96 (WP_020719085.1)
WP_020722283.1, Acidobacteriaceae_bacterium_KBS_96 (WP_020722283.1)
WP_022982623.1, Ideonella_sp._B508-1 (WP_022982623.1)
WP_024288332.1, Cellulomonas_sp._KRMCY2 (WP_024288332.1)
WP_024749757.1, Methylosinus (WP_024749757.1)
WP_026448247.1, Acidobacteriaceae_bacterium_URHE0068 (WP_026448247.1)
WP_027278534.1, Rhodopseudomonas_palustris (WP_027278534.1)
WP_028365931.1, Burkholderia_sp._UYPR1.413 (WP_028365931.1)
WP_029133144.1, Sedimenticola_selenatireducens (WP_029133144.1)
WP_034715038.1, Intrasporangium_chromatireducens (WP_034715038.1)
WP_034994953.1, Beijerinckia_mobilis (WP_034994953.1)
WP_035240717.1, Desulfobacter_vibrioformis (WP_035240717.1)
WP_035363968.1, Dongia_sp._URHE0060 (WP_035363968.1)
WP_036280540.1, Methylocystis_sp._ATCC_49242 (WP_036280540.1)
WP_036517814.1, Nevskia_soli (WP_036517814.1)
WP_037241453.1, Rhodomicrobium_udaipurense (WP_037241453.1)
WP_037580602.1, Streptacidiphilus_oryzae (WP_037580602.1)
WP_037842127.1, Streptomyces_sp._NRRL_WC-3549 (WP_037842127.1)
WP_037948071.1, Streptomyces_sp._PRh5 (WP_037948071.1)
WP_038047976.1, Thermoanaerobaculum_aquaticum (WP_038047976.1)
WP_040039604.1, Noviherbaspirillum_autotrophicum (WP_040039604.1)
WP_041042097.1, Tolypothrix_campylonemoides (WP_041042097.1)
WP_041585153.1, Syntrophus_aciditrophicus (WP_041585153.1)
WP_043726680.1, Kutzneria_sp._744 (WP_043726680.1)
WP_044934805.1, Acidobacterium_ailaaui (WP_044934805.1)
WP_045740375.1, Actinoplanes_rectilineatus (WP_045740375.1)
WP_048082433.1, Methanobacterium (WP_048082433.1)
WP_048424133.1, Mycobacterium_obuense (WP_048424133.1)
WP_048877518.1, Acidocella_aminolytica (WP_048877518.1)
WP_048893631.1, Mycobacterium_heckeshornense (WP_048893631.1)
WP_050062391.1, Silvibacterium_bohemicum (WP_050062391.1)
WP_050614136.1, Bacillus_testis (WP_050614136.1)
WP_052295347.1, Sphaerobacter_thermophilus (WP_052295347.1)
WP_054019017.1, Ideonella_sakaiensis (WP_054019017.1)
WP_054030468.1, Desulfatitalea_tepidiphila (WP_054030468.1)
WP_054938120.1, Moorella_glycerini (WP_054938120.1)
WP_055546552.1, Streptomyces_sp._NBRC_110028 (WP_055546552.1)
WP_055771890.1, Stenotrophomonas_sp._Leaf70 (WP_055771890.1)
WP_056301902.1, Afipia_sp._Root123D2 (WP_056301902.1)
WP_056535758.1, Marmoricola_sp._Leaf446 (WP_056535758.1)
WP_056554073.1, Mycobacterium_sp._Root135 (WP_056554073.1)
WP_056602712.1, Rhodanobacter_sp._Root627 (WP_056602712.1)
WP_057196335.1, Bradyrhizobium_sp._Leaf396 (WP_057196335.1)
WP_057198625.1, Bradyrhizobium_sp._Leaf396 (WP_057198625.1)
WP_058095824.1, Alicyclobacillus_tengchongensis (WP_058095824.1)
WP_059108347.1, Catabacter_hongkongensis (WP_059108347.1)
WP_059435711.1, Anaeromyxobacter_sp._PSR-1 (WP_059435711.1)
WP_059435897.1, Anaeromyxobacter_sp._PSR-1 (WP_059435897.1)
WP_062193974.1, Anaerolinea_thermolimosa (WP_062193974.1)
WP_062417704.1, Levilinea_saccharolytica (WP_062417704.1)
WP_062494129.1, Paenibacillus_sp._32O-W (WP_062494129.1)
WP_062539130.1, Mycobacterium_celatum (WP_062539130.1)
WP_062577946.1, Rhizobium_sp._Leaf321 (WP_062577946.1)
WP_062658153.1, Mycobacterium_canariasense (WP_062658153.1)
WP_063470902.1, Mycobacterium_kansasii (WP_063470902.1)
WP_063714587.1, Leptolyngbya_valderiana (WP_063714587.1)
WP_066368511.1, Bacillus_fumarioli (WP_066368511.1)
WP_066432521.1, Arthrobacter_sp._EPSL27 (WP_066432521.1)
WP_066584395.1, Cellulomonas_sp._SN7 (WP_066584395.1)
WP_067054255.1, Mucilaginibacter_sp._L294 (WP_067054255.1)
WP_067230173.1, Mycobacterium_sp._852002-51163_SCH5372311 (WP_067230173.1)
WP_067445770.1, Nocardia_alba (WP_067445770.1)
WP_068182342.1, Mycobacterium_sp._UM_CSW (WP_068182342.1)
WP_068449878.1, Polaribacter_atrinae (WP_068449878.1)
WP_069799355.1, Tepidibacillus_sp._HK-1 (WP_069799355.1)
WP_071027965.1, Mycobacterium_talmoniae (WP_071027965.1)
WP_073531291.1, Bacillus_cereus (WP_073531291.1)
WP_074488260.1, Mucilaginibacter_polytrichastri (WP_074488260.1)
WP_074656230.1, Terriglobus_roseus (WP_074656230.1)
WP_081721721.1, Didymococcus_colitermitum (WP_081721721.1)
WP_081841461.1, Alicyclobacillus_macrosporangiidus (WP_081841461.1)
WP_083054410.1, Mycobacterium_bacteremicum (WP_083054410.1)
WP_084058199.1, Desulfacinum_hydrothermale (WP_084058199.1)
WP_084780245.1, Bacillus_massilionigeriensis (WP_084780245.1)
WP_084891334.1, Williamsia_sp._1135 (WP_084891334.1)
WP_085193234.1, Mycobacterium_xenopi (WP_085193234.1)
WP_085205379.1, Mycobacterium_interjectum (WP_085205379.1)
WP_085874534.1, Nocardioides (WP_085874534.1)
WP_085940781.1, Azospirillum_sp._B506 (WP_085940781.1)
WP_086104519.1, Chitinophagaceae_bacterium_IBVUCB2 (WP_086104519.1)
WP_088281225.1, Ideonella_sp._A_288 (WP_088281225.1)
WP_089316854.1, Actinomadura_mexicana (WP_089316854.1)
WP_089984281.1, Clostridium_sp._C105KSO13 (WP_089984281.1)
WP_091116246.1, Nocardioides_psychrotolerans (WP_091116246.1)
WP_091133605.1, Microvirga_guangxiensis (WP_091133605.1)
WP_091156519.1, Mucilaginibacter_pineti (WP_091156519.1)
WP_091298610.1, Amycolatopsis_xylanica (WP_091298610.1)
WP_091937646.1, Methanolobus_profundi (WP_091937646.1)
WP_092022223.1, Marinobacter_zhejiangensis (WP_092022223.1)
WP_092823448.1, Rhodospirillales_bacterium_URHD0017 (WP_092823448.1)
WP_093186029.1, Thiocapsa_sp._KS1 (WP_093186029.1)
WP_093884415.1, Syntrophus_gentianae (WP_093884415.1)
WP_094975155.1, Bradyrhizobium_sp._3(2017) (WP_094975155.1)
XP_007337590.1, Auricularia_subglabra_TFB-10046_SS5 (XP_007337590.1)
XP_016211117.1, Verruconis_gallopava (XP_016211117.1)
XP_018076708.1, Phialocephala_scopiformis (XP_018076708.1)
XP_018380734.1, Alternaria_alternata (XP_018380734.1)
